X1_go_counts.txt	X2_go_counts.txt	X3_go_counts.txt	X4_go_counts.txt	X5_go_counts.txt	X6_go_counts.txt	go.name
GO:0030700	4	2	4	0	4	54	glycine reductase complex
GO:0009295	5	0	2	0	4	13	nucleoid
GO:0030076	4	6	2	9	1	4	light-harvesting complex
GO:0005779	4	3	2	7	5	6	integral component of peroxisomal membrane
GO:0005578	5	5	1	13	35	25	proteinaceous extracellular matrix
GO:0005674	4	5	0	0	4	13	transcription factor TFIIF complex
GO:0090544	3	2	1	1	6	2	BAF-type complex
GO:0005869	3	6	1	3	1	1	dynactin complex
GO:0008023	3	1	0	1	4	1	transcription elongation factor complex
GO:0000785	3	0	0	0	0	0	chromatin
GO:0005795	3	3	6	8	7	4	Golgi stack
GO:0005761	3	7	2	4	3	6	mitochondrial ribosome
GO:0000808	3	4	0	1	1	3	origin recognition complex
GO:0005727	4	2	2	2	1	6	extrachromosomal circular DNA
GO:0030141	3	4	0	5	15	2	secretory granule
GO:0005785	3	7	0	4	5	5	signal recognition particle receptor complex
GO:0005672	7	6	5	6	32	15	transcription factor TFIIA complex
GO:0005744	3	2	1	3	3	5	mitochondrial inner membrane presequence translocase complex
GO:0046930	2	0	1	0	1	1	pore complex
GO:0032580	2	3	1	3	16	4	Golgi cisterna membrane
GO:0005758	2	4	2	5	4	2	mitochondrial intermembrane space
GO:0005751	2	2	1	4	27	11	mitochondrial respiratory chain complex IV
GO:0031083	2	2	0	2	6	3	BLOC-1 complex
GO:0030991	2	0	0	1	1	2	intraciliary transport particle A
GO:0070176	2	1	0	1	0	0	DRM complex
GO:0005874	2	6	1	0	1	6	microtubule
GO:0005763	2	1	0	1	1	7	mitochondrial small ribosomal subunit
GO:0019013	2	0	0	3	0	0	viral nucleocapsid
GO:0001726	2	8	0	4	16	8	ruffle
GO:0005925	2	9	0	4	17	8	focal adhesion
GO:0000439	6	3	2	9	3	7	core TFIIH complex
GO:0005680	1	2	2	1	3	3	anaphase-promoting complex
GO:0032039	1	3	0	3	4	1	integrator complex
GO:0031902	1	0	0	0	1	0	late endosome membrane
GO:0045121	1	0	0	0	1	0	membrane raft
GO:0071986	1	0	0	0	1	0	Ragulator complex
GO:0005759	1	3	0	2	3	1	mitochondrial matrix
GO:0005742	1	3	0	5	5	8	mitochondrial outer membrane translocase complex
GO:0036038	1	11	0	5	3	2	TCTN-B9D complex
GO:0000262	1	0	2	1	0	0	mitochondrial chromosome
GO:0042613	1	0	1	0	0	1	MHC class II protein complex
GO:0000123	1	4	3	2	1	4	histone acetyltransferase complex
GO:0000775	1	1	0	2	1	0	chromosome, centromeric region
GO:0033588	1	2	0	3	2	3	Elongator holoenzyme complex
GO:0005665	1	3	2	1	0	3	DNA-directed RNA polymerase II, core complex
GO:0044599	1	0	0	0	0	0	AP-5 adaptor complex
GO:0000124	1	0	0	1	0	0	SAGA complex
GO:0000445	1	2	1	0	2	5	THO complex part of transcription export complex
GO:0071595	1	1	0	3	2	1	Nem1-Spo7 phosphatase complex
GO:0033644	1	16	1	1	0	1	host cell membrane
GO:0005813	0	3	0	0	0	0	centrosome
GO:0055036	0	3	0	1	0	1	virion membrane
GO:0016533	0	2	2	2	1	2	cyclin-dependent protein kinase 5 holoenzyme complex
GO:0016010	0	2	0	0	5	0	dystrophin-associated glycoprotein complex
GO:0017053	0	3	0	2	3	2	transcriptional repressor complex
GO:0043189	0	1	0	1	1	0	H4/H2A histone acetyltransferase complex
GO:0000178	0	1	1	2	3	2	exosome (RNase complex)
GO:0030896	0	1	0	1	0	0	checkpoint clamp complex
GO:0031305	0	1	0	0	1	0	integral component of mitochondrial inner membrane
GO:0000176	0	1	0	0	1	1	nuclear exosome (RNase complex)
GO:0070461	0	1	0	0	0	2	SAGA-type complex
GO:0016012	0	1	0	1	2	0	sarcoglycan complex
GO:1990879	0	0	2	0	0	0	CST complex
GO:0072669	0	0	1	0	0	0	tRNA-splicing ligase complex
GO:0036128	0	0	1	0	0	0	CatSper complex
GO:0031411	0	0	1	0	0	0	gas vesicle
GO:0005819	0	0	1	0	1	0	spindle
GO:0000795	0	0	1	1	0	0	synaptonemal complex
GO:0005639	0	0	0	3	2	3	integral component of nuclear inner membrane
GO:0009276	0	0	0	1	0	0	Gram-negative-bacterium-type cell wall
GO:0008076	0	0	0	1	0	0	voltage-gated potassium channel complex
GO:0001527	0	0	0	1	0	0	microfibril
GO:0001518	0	0	0	1	0	1	voltage-gated sodium channel complex
GO:0005664	0	0	0	1	1	0	nuclear origin of replication recognition complex
GO:0005666	0	0	0	1	0	0	DNA-directed RNA polymerase III complex
GO:0005891	0	0	0	0	6	0	voltage-gated calcium channel complex
GO:0005788	0	0	0	0	5	2	endoplasmic reticulum lumen
GO:0005747	0	0	0	0	2	0	mitochondrial respiratory chain complex I
GO:1990316	0	0	0	0	1	0	ATG1/ULK1 kinase complex
GO:0000776	0	0	0	0	1	0	kinetochore
GO:0005868	0	0	0	0	1	0	cytoplasmic dynein complex
GO:0071008	0	0	0	0	1	1	U2-type post-mRNA release spliceosomal complex
GO:0030133	0	0	0	0	0	2	transport vesicle
GO:0000781	0	0	0	0	0	2	chromosome, telomeric region
GO:0009898	0	0	0	0	0	1	cytoplasmic side of plasma membrane
