X1_go_counts.txt	X2_go_counts.txt	X3_go_counts.txt	X4_go_counts.txt	X5_go_counts.txt	X6_go_counts.txt	go.name
GO:0009098	168	83	134	75	116	179	leucine biosynthetic process
GO:0051301	185	146	248	160	169	520	cell division
GO:0010124	165	189	87	164	226	249	phenylacetate catabolic process
GO:0006869	189	193	28	189	142	112	lipid transport
GO:0006470	304	276	154	211	329	496	protein dephosphorylation
GO:0006231	214	137	188	126	149	358	dTMP biosynthetic process
GO:0006397	229	186	122	176	165	179	mRNA processing
GO:0071704	158	115	146	87	137	228	organic substance metabolic process
GO:0006006	271	172	238	173	174	389	glucose metabolic process
GO:0006835	151	173	202	137	188	392	dicarboxylic acid transport
GO:0046080	150	119	144	89	109	338	dUTP metabolic process
GO:0006189	149	77	138	87	147	263	'de novo' IMP biosynthetic process
GO:0006334	239	407	166	232	320	322	nucleosome assembly
GO:0044237	170	122	170	130	181	345	cellular metabolic process
GO:0006741	148	91	133	104	130	288	NADP biosynthetic process
GO:0006813	222	196	225	171	319	458	potassium ion transport
GO:0030001	451	323	423	317	352	721	metal ion transport
GO:0007017	145	200	61	128	133	180	microtubule-based process
GO:0008616	300	220	302	179	222	575	queuosine biosynthetic process
GO:0006820	157	176	113	135	192	147	anion transport
GO:0006207	143	93	138	75	105	258	'de novo' pyrimidine nucleobase biosynthetic process
GO:0009086	245	143	242	163	248	398	methionine biosynthetic process
GO:0006084	189	225	143	173	207	487	acetyl-CoA metabolic process
GO:0006783	139	82	123	85	115	196	heme biosynthetic process
GO:0006364	615	353	426	326	528	852	rRNA processing
GO:0032259	164	118	147	103	121	299	methylation
GO:0032784	233	118	219	108	155	239	regulation of DNA-templated transcription, elongation
GO:0042819	163	124	115	125	148	164	vitamin B6 biosynthetic process
GO:0042823	163	124	115	125	148	164	pyridoxal phosphate biosynthetic process
GO:0015936	127	110	122	112	138	211	coenzyme A metabolic process
GO:0019441	167	137	230	142	154	304	tryptophan catabolic process to kynurenine
GO:0017000	126	132	182	117	131	355	antibiotic biosynthetic process
GO:0006486	209	239	125	178	254	273	protein glycosylation
GO:0006568	213	158	222	110	175	368	tryptophan metabolic process
GO:0009089	281	175	230	141	192	475	lysine biosynthetic process via diaminopimelate
GO:0006855	123	133	151	135	124	478	drug transmembrane transport
GO:0006284	224	161	250	136	163	586	base-excision repair
GO:0006571	120	51	99	54	94	144	tyrosine biosynthetic process
GO:0019439	133	122	136	108	130	242	aromatic compound catabolic process
GO:0006400	172	103	159	80	124	341	tRNA modification
GO:0006298	355	292	395	267	357	872	mismatch repair
GO:0006777	292	177	295	170	226	424	Mo-molybdopterin cofactor biosynthetic process
GO:0006071	184	112	203	118	127	360	glycerol metabolic process
GO:0006432	191	108	158	89	161	221	phenylalanyl-tRNA aminoacylation
GO:0015774	127	80	132	74	108	150	polysaccharide transport
GO:0006904	117	103	59	77	93	164	vesicle docking involved in exocytosis
GO:0043043	109	49	99	55	93	123	peptide biosynthetic process
GO:0006270	124	74	127	87	108	146	DNA replication initiation
GO:0006275	199	163	185	161	202	245	regulation of DNA replication
GO:0006426	195	161	206	116	183	399	glycyl-tRNA aminoacylation
GO:0006729	106	49	95	52	72	100	tetrahydrobiopterin biosynthetic process
GO:0009253	175	125	218	147	130	364	peptidoglycan catabolic process
GO:0008615	179	127	167	124	150	363	pyridoxine biosynthetic process
GO:0042398	103	93	121	103	89	187	cellular modified amino acid biosynthetic process
GO:0015937	121	69	81	52	101	177	coenzyme A biosynthetic process
GO:0005992	138	111	94	96	104	210	trehalose biosynthetic process
GO:0019475	102	77	96	80	136	234	L-lysine catabolic process to acetate
GO:0009249	102	57	96	53	95	225	protein lipoylation
GO:0042158	102	57	96	53	95	225	lipoprotein biosynthetic process
GO:0015684	122	80	126	77	72	188	ferrous iron transport
GO:0051262	98	50	63	34	73	74	protein tetramerization
GO:0005976	91	40	83	35	60	136	polysaccharide metabolic process
GO:0017013	90	89	122	93	136	329	protein flavinylation
GO:0008612	90	47	78	51	58	116	peptidyl-lysine modification to peptidyl-hypusine
GO:0009052	87	43	75	50	47	91	pentose-phosphate shunt, non-oxidative branch
GO:0006177	86	66	83	41	74	140	GMP biosynthetic process
GO:0006559	86	109	75	88	140	204	L-phenylalanine catabolic process
GO:0006570	86	109	75	88	140	204	tyrosine metabolic process
GO:0010498	86	43	77	49	52	103	proteasomal protein catabolic process
GO:0019941	86	43	77	49	52	103	modification-dependent protein catabolic process
GO:0051304	84	57	92	48	70	106	chromosome separation
GO:0009094	83	55	83	40	58	149	L-phenylalanine biosynthetic process
GO:0006541	123	85	125	94	111	171	glutamine metabolic process
GO:0006821	83	87	88	62	86	208	chloride transport
GO:0002143	82	74	52	34	87	96	tRNA wobble position uridine thiolation
GO:0006120	83	39	80	47	51	90	mitochondrial electron transport, NADH to ubiquinone
GO:0019079	89	63	79	106	125	133	viral genome replication
GO:0009166	80	43	86	46	79	200	nucleotide catabolic process
GO:0006784	80	54	94	64	76	145	heme a biosynthetic process
GO:0006075	80	30	34	23	32	18	(1->3)-beta-D-glucan biosynthetic process
GO:0006007	77	45	78	49	53	201	glucose catabolic process
GO:0046168	77	68	84	67	102	174	glycerol-3-phosphate catabolic process
GO:0006523	76	40	70	35	45	64	alanine biosynthetic process
GO:0017003	76	47	50	50	61	87	protein-heme linkage
GO:0015969	76	49	82	56	53	148	guanosine tetraphosphate metabolic process
GO:0009103	78	33	56	29	49	82	lipopolysaccharide biosynthetic process
GO:0016311	72	40	57	38	55	158	dephosphorylation
GO:0032324	109	107	118	93	89	217	molybdopterin cofactor biosynthetic process
GO:0035023	70	84	40	64	94	81	regulation of Rho protein signal transduction
GO:0006450	68	30	63	32	45	46	regulation of translational fidelity
GO:0045017	68	85	59	81	80	166	glycerolipid biosynthetic process
GO:0006885	67	53	100	46	63	189	regulation of pH
GO:0006452	65	45	58	57	70	51	translational frameshifting
GO:0045901	65	45	58	57	70	51	positive regulation of translational elongation
GO:0045905	65	45	58	57	70	51	positive regulation of translational termination
GO:0009113	122	74	125	78	93	229	purine nucleobase biosynthetic process
GO:0008643	113	53	85	85	60	83	carbohydrate transport
GO:0046411	64	16	57	52	23	21	2-keto-3-deoxygluconate transport
GO:0006304	104	79	132	75	95	344	DNA modification
GO:0006888	125	103	62	65	108	109	ER to Golgi vesicle-mediated transport
GO:0046488	62	51	34	48	52	59	phosphatidylinositol metabolic process
GO:0019478	62	50	53	41	45	86	D-amino acid catabolic process
GO:0016573	62	70	38	40	46	50	histone acetylation
GO:0006725	162	83	181	107	112	204	cellular aromatic compound metabolic process
GO:0006865	60	51	79	46	53	205	amino acid transport
GO:0006479	60	104	38	79	96	91	protein methylation
GO:0000398	156	139	81	91	142	147	mRNA splicing, via spliceosome
GO:0051016	76	82	45	53	61	79	barbed-end actin filament capping
GO:0042619	57	92	46	79	87	157	poly-hydroxybutyrate biosynthetic process
GO:0030259	55	41	55	42	43	101	lipid glycosylation
GO:0016052	54	45	53	31	48	91	carbohydrate catabolic process
GO:0010038	60	48	54	29	44	76	response to metal ion
GO:0006665	78	57	80	47	59	163	sphingolipid metabolic process
GO:0010024	52	18	54	26	33	18	phytochromobilin biosynthetic process
GO:0051156	52	37	47	33	39	98	glucose 6-phosphate metabolic process
GO:0007015	52	62	12	34	42	31	actin filament organization
GO:0019385	51	15	23	19	12	13	methanogenesis, from acetate
GO:0006750	173	160	148	100	127	283	glutathione biosynthetic process
GO:0009401	140	84	149	94	98	257	phosphoenolpyruvate-dependent sugar phosphotransferase system
GO:0042147	51	61	32	47	57	56	retrograde transport, endosome to Golgi
GO:0006545	50	32	66	35	39	125	glycine biosynthetic process
GO:0009294	50	52	65	43	60	161	DNA mediated transformation
GO:0016567	72	84	40	67	78	94	protein ubiquitination
GO:0006040	49	48	52	35	49	111	amino sugar metabolic process
GO:0009254	58	56	61	42	61	137	peptidoglycan turnover
GO:1902604	47	33	53	43	33	120	p-aminobenzoyl-glutamate transmembrane transport
GO:0042256	46	51	39	47	55	47	mature ribosome assembly
GO:0006760	45	26	47	18	34	51	folic acid-containing compound metabolic process
GO:0006013	45	54	25	34	45	67	mannose metabolic process
GO:0032012	45	54	36	49	64	50	regulation of ARF protein signal transduction
GO:0046417	44	29	39	26	27	67	chorismate metabolic process
GO:0030435	45	29	44	39	68	61	sporulation resulting in formation of a cellular spore
GO:0005985	44	35	44	22	33	81	sucrose metabolic process
GO:0006694	51	38	31	36	49	76	steroid biosynthetic process
GO:0009236	236	179	181	107	184	554	cobalamin biosynthetic process
GO:0006952	47	56	54	58	51	48	defense response
GO:0008284	43	50	50	55	51	35	positive regulation of cell proliferation
GO:0045892	69	48	64	55	46	105	negative regulation of transcription, DNA-templated
GO:0002949	43	28	47	34	36	119	tRNA threonylcarbamoyladenosine modification
GO:0015813	42	28	29	30	21	71	L-glutamate transport
GO:0006064	79	46	66	50	62	170	glucuronate catabolic process
GO:0031167	41	35	34	29	31	123	rRNA methylation
GO:0018279	41	31	10	25	47	37	protein N-linked glycosylation via asparagine
GO:0009394	40	13	31	16	25	42	2'-deoxyribonucleotide metabolic process
GO:0006788	40	7	42	22	22	8	heme oxidation
GO:0034220	58	32	41	50	38	75	ion transmembrane transport
GO:0033539	39	34	29	55	40	106	fatty acid beta-oxidation using acyl-CoA dehydrogenase
GO:0006535	39	22	37	26	20	39	cysteine biosynthetic process from serine
GO:0019281	37	27	41	22	25	60	L-methionine biosynthetic process from homoserine via O-succinyl-L-homoserine and cystathionine
GO:0015703	36	30	42	35	32	114	chromate transport
GO:0006744	46	44	51	34	40	100	ubiquinone biosynthetic process
GO:0032775	37	25	41	17	31	95	DNA methylation on adenine
GO:0008360	46	24	51	23	36	95	regulation of cell shape
GO:0007049	115	82	98	72	114	135	cell cycle
GO:0008295	56	37	49	38	39	67	spermidine biosynthetic process
GO:0051260	35	36	18	28	47	55	protein homooligomerization
GO:0006621	35	32	20	28	40	28	protein retention in ER lumen
GO:0006308	51	35	47	33	56	70	DNA catabolic process
GO:0006928	53	54	55	56	45	51	movement of cell or subcellular component
GO:0044781	39	31	34	35	36	49	bacterial-type flagellum organization
GO:0006303	35	21	47	19	33	34	double-strand break repair via nonhomologous end joining
GO:0009267	34	37	39	34	29	106	cellular response to starvation
GO:0009446	34	36	39	31	43	112	putrescine biosynthetic process
GO:0030041	33	26	26	25	25	20	actin filament polymerization
GO:0034314	97	72	56	63	71	87	Arp2/3 complex-mediated actin nucleation
GO:0000723	40	32	29	29	33	85	telomere maintenance
GO:0006012	48	40	34	40	27	98	galactose metabolic process
GO:0030833	64	46	30	38	46	67	regulation of actin filament polymerization
GO:0006505	32	30	27	27	34	84	GPI anchor metabolic process
GO:0018189	32	6	29	14	12	13	pyrroloquinoline quinone biosynthetic process
GO:0015727	31	19	29	17	18	63	lactate transport
GO:0006030	30	23	22	30	27	23	chitin metabolic process
GO:0015886	36	27	30	20	24	61	heme transport
GO:0005978	30	52	25	35	40	71	glycogen biosynthetic process
GO:0006433	30	15	24	20	17	27	prolyl-tRNA aminoacylation
GO:0006438	30	17	27	19	28	51	valyl-tRNA aminoacylation
GO:0046907	29	49	26	33	43	59	intracellular transport
GO:0046653	29	12	22	10	32	29	tetrahydrofolate metabolic process
GO:0006000	28	27	34	24	18	32	fructose metabolic process
GO:0034755	27	18	14	4	8	17	iron ion transmembrane transport
GO:0018193	26	35	28	28	28	45	peptidyl-amino acid modification
GO:0007010	57	56	30	51	65	46	cytoskeleton organization
GO:0035429	26	23	32	20	17	60	gluconate transmembrane transport
GO:0005991	26	16	18	23	23	64	trehalose metabolic process
GO:0016037	25	14	15	17	5	10	light absorption
GO:0005996	25	9	16	6	9	29	monosaccharide metabolic process
GO:0006379	25	10	4	8	12	4	mRNA cleavage
GO:0006188	67	46	55	38	48	88	IMP biosynthetic process
GO:0016598	42	34	28	18	27	56	protein arginylation
GO:0009308	35	26	31	22	42	47	amine metabolic process
GO:0043087	24	27	13	20	37	31	regulation of GTPase activity
GO:0006289	45	29	47	29	28	99	nucleotide-excision repair
GO:0016117	23	5	15	9	15	19	carotenoid biosynthetic process
GO:0015672	25	32	23	16	47	69	monovalent inorganic cation transport
GO:0051056	23	22	13	14	13	17	regulation of small GTPase mediated signal transduction
GO:0046439	22	22	18	24	22	35	L-cysteine metabolic process
GO:0006878	22	4	20	6	13	14	cellular copper ion homeostasis
GO:0000917	30	9	22	13	12	29	barrier septum assembly
GO:0046677	30	41	12	28	35	48	response to antibiotic
GO:0030488	23	15	15	24	20	33	tRNA methylation
GO:0043401	22	31	16	28	49	42	steroid hormone mediated signaling pathway
GO:0006606	23	35	11	14	19	28	protein import into nucleus
GO:0006376	22	32	7	14	24	31	mRNA splice site selection
GO:0015689	24	31	24	27	36	41	molybdate ion transport
GO:0009298	22	25	13	26	18	41	GDP-mannose biosynthetic process
GO:0006401	22	12	15	15	14	35	RNA catabolic process
GO:0009117	27	13	17	9	7	23	nucleotide metabolic process
GO:0006004	40	22	24	20	38	67	fucose metabolic process
GO:0006032	21	14	9	10	7	16	chitin catabolic process
GO:0016998	43	23	25	26	17	37	cell wall macromolecule catabolic process
GO:0009056	21	8	18	10	10	31	catabolic process
GO:0006597	21	14	13	18	14	23	spermine biosynthetic process
GO:0010207	35	20	32	25	17	10	photosystem II assembly
GO:0043419	21	6	14	6	11	4	urea catabolic process
GO:0050920	20	13	19	12	13	21	regulation of chemotaxis
GO:0000079	20	31	10	24	28	22	regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0006897	20	5	8	6	5	20	endocytosis
GO:0015628	20	13	20	17	18	31	protein secretion by the type II secretion system
GO:0010033	20	13	14	12	16	54	response to organic substance
GO:0061024	20	13	14	12	16	54	membrane organization
GO:0009307	26	19	25	10	29	69	DNA restriction-modification system
GO:0006527	34	13	16	17	23	34	arginine catabolic process
GO:0009405	32	27	32	13	24	54	pathogenesis
GO:0006333	18	11	10	12	18	14	chromatin assembly or disassembly
GO:0030244	21	16	16	9	11	17	cellulose biosynthetic process
GO:0019299	33	24	37	27	23	35	rhamnose metabolic process
GO:0017187	18	7	21	11	11	33	peptidyl-glutamic acid carboxylation
GO:0006282	17	8	13	9	10	28	regulation of DNA repair
GO:0019295	16	5	10	7	14	11	coenzyme M biosynthetic process
GO:0009247	19	13	6	22	15	13	glycolipid biosynthetic process
GO:0019310	16	30	19	19	37	24	inositol catabolic process
GO:0015995	26	6	13	13	10	5	chlorophyll biosynthetic process
GO:0046373	18	14	17	6	40	21	L-arabinose metabolic process
GO:0009403	15	24	37	21	22	53	toxin biosynthetic process
GO:0017009	21	1	13	4	7	4	protein-phycocyanobilin linkage
GO:0006423	15	14	25	8	17	37	cysteinyl-tRNA aminoacylation
GO:0019646	15	12	14	16	21	18	aerobic electron transport chain
GO:0006481	15	14	19	14	18	42	C-terminal protein methylation
GO:0019354	15	23	27	10	24	45	siroheme biosynthetic process
GO:0007076	14	17	9	14	12	10	mitotic chromosome condensation
GO:0009072	14	19	13	10	11	24	aromatic amino acid family metabolic process
GO:0044780	14	16	28	7	15	19	bacterial-type flagellum assembly
GO:0031388	14	15	18	14	17	49	organic acid phosphorylation
GO:0009966	17	20	14	10	27	47	regulation of signal transduction
GO:0043666	14	17	11	8	18	42	regulation of phosphoprotein phosphatase activity
GO:0006378	14	8	3	3	9	13	mRNA polyadenylation
GO:0043631	17	27	10	15	22	23	RNA polyadenylation
GO:0070206	14	6	10	5	10	7	protein trimerization
GO:0000256	25	31	79	30	37	73	allantoin catabolic process
GO:0009411	14	1	9	2	3	8	response to UV
GO:0000271	21	13	14	5	15	31	polysaccharide biosynthetic process
GO:0006742	13	5	2	2	11	20	NADP catabolic process
GO:0019363	13	5	2	2	11	20	pyridine nucleotide biosynthetic process
GO:0045747	13	14	7	10	12	15	positive regulation of Notch signaling pathway
GO:0071436	13	3	9	2	5	11	sodium ion export
GO:0006471	16	19	4	16	21	21	protein ADP-ribosylation
GO:0006465	24	16	11	10	19	19	signal peptide processing
GO:0019605	12	5	6	7	5	16	butyrate metabolic process
GO:0006672	12	12	9	9	9	24	ceramide metabolic process
GO:0019370	12	2	3	10	4	10	leukotriene biosynthetic process
GO:0032955	12	5	14	5	10	12	regulation of barrier septum assembly
GO:0006388	18	15	24	19	18	28	tRNA splicing, via endonucleolytic cleavage and ligation
GO:0000041	11	6	17	10	9	22	transition metal ion transport
GO:0030245	23	12	17	20	11	26	cellulose catabolic process
GO:0008218	18	6	13	8	8	36	bioluminescence
GO:0015693	11	9	6	6	10	11	magnesium ion transport
GO:0007160	11	5	9	6	9	17	cell-matrix adhesion
GO:0051276	11	7	11	8	23	8	chromosome organization
GO:0006122	12	14	8	11	31	27	mitochondrial electron transport, ubiquinol to cytochrome c
GO:0031221	10	10	5	8	7	5	arabinan metabolic process
GO:0055070	10	7	15	7	4	30	copper ion homeostasis
