X1_pfam_counts.txt	X2_pfam_counts.txt	X3_pfam_counts.txt	X4_pfam_counts.txt	X5_pfam_counts.txt	X6_pfam_counts.txt	pfamdesc	molecular_function	biological_process	cellular_component
PF04542	2624	1614	2397	1773	1955	2317	Sigma-70 region 2	GO:0003677,GO:0003700,GO:0016987	GO:0006352,GO:0006355	NA
PF00593	2610	1190	2221	1236	1780	2016	TonB dependent receptor	GO:0004872	GO:0006810	GO:0016020
PF00361	2520	1604	2133	1788	1974	2929	Proton-conducting membrane transporter	NA	NA	NA
PF07394	2498	1317	2721	1332	1899	2438	Protein of unknown function (DUF1501)	NA	NA	NA
PF07715	2476	1214	2109	1190	1781	1901	TonB-dependent Receptor Plug Domain	GO:0004872	GO:0006810	GO:0016020
PF00873	2442	2000	2644	1651	2067	5678	AcrB/AcrD/AcrF family	GO:0005215	GO:0006810	GO:0016020
PF00183	2413	2233	1029	1253	2145	2046	Hsp90 protein	GO:0005524,GO:0051082	GO:0006457,GO:0006950	NA
PF00400	2391	2365	2024	1980	2725	3318	WD domain, G-beta repeat	GO:0005515	NA	NA
PF07732	2352	930	2524	1460	1508	814	Multicopper oxidase	GO:0005507	NA	NA
PF00266	2288	1157	2183	1107	1629	2817	Aminotransferase class-V	NA	NA	NA
PF00155	2266	1890	2132	1775	2132	3970	Aminotransferase class I and II	GO:0030170	GO:0009058	NA
PF02874	2262	1183	1676	1386	1632	1736	ATP synthase alpha/beta family, beta-barrel domain	NA	GO:0015992,GO:0046034	NA
PF07724	2178	1338	1809	1276	1632	1887	AAA domain (Cdc48 subfamily)	GO:0005524	NA	NA
PF04055	2174	1601	2137	1505	1827	3254	Radical SAM superfamily	GO:0003824,GO:0051536	NA	NA
PF03480	2172	1385	2383	1372	1827	1943	Bacterial extracellular solute-binding protein, family 7	NA	GO:0006810	GO:0030288
PF00510	2161	1106	1457	1836	1766	1614	Cytochrome c oxidase subunit III	GO:0015002	NA	GO:0016020
PF04998	2139	584	1921	646	1230	1577	RNA polymerase Rpb1, domain 5	GO:0003677,GO:0003899	GO:0006351	NA
PF12796	2133	2494	1780	1822	2845	2832	Ankyrin repeats (3 copies)	NA	NA	NA
PF00271	2078	1667	1484	1301	1778	2801	Helicase conserved C-terminal domain	NA	NA	NA
PF00119	2064	1027	1411	1409	1452	1362	ATP synthase A chain	GO:0015078	GO:0015986	NA
PF00562	2055	589	1931	603	1363	1511	RNA polymerase Rpb2, domain 6	GO:0003677,GO:0003899	GO:0006351	NA
PF00270	1997	1665	1530	1261	1802	2819	DEAD/DEAH box helicase	GO:0003676,GO:0005524	NA	NA
PF13631	1973	1318	1244	1598	1448	1466	Cytochrome b(N-terminal)/b6/petB	GO:0009055,GO:0016491	NA	GO:0016020
PF05221	1970	1253	1404	1101	1527	1699	S-adenosyl-L-homocysteine hydrolase	GO:0004013	GO:0006730	NA
PF00137	1910	895	1475	1548	1450	1414	ATP synthase subunit C	GO:0015078	GO:0015991	GO:0033177
PF01370	1909	1159	1829	1135	1524	2616	NAD dependent epimerase/dehydratase family	GO:0003824,GO:0050662	NA	NA
PF00071	1904	1671	1205	1461	1784	1859	Ras family	GO:0005525	GO:0007264	NA
PF00437	1889	1191	1894	1252	1603	2270	Type II/IV secretion system protein	GO:0005524	GO:0006810	NA
PF00378	1886	1302	1730	1180	1526	2625	Enoyl-CoA hydratase/isomerase	GO:0003824	GO:0008152	NA
PF13517	1871	1401	1970	1340	1563	2788	Repeat domain in Vibrio, Colwellia, Bradyrhizobium and Shewanella	NA	NA	NA
PF00297	1864	1024	1301	824	1581	1677	Ribosomal protein L3	GO:0003735	GO:0006412	GO:0005622,GO:0005840
PF02412	1854	949	1749	1000	2299	1089	Thrombospondin type 3 repeat	GO:0005509	GO:0007155	NA
PF00085	1849	1178	1351	1099	1597	1631	Thioredoxin	NA	GO:0045454	NA
PF00890	1833	1952	1375	1272	2086	3729	FAD binding domain	NA	NA	NA
PF13598	1819	2127	1139	1621	1949	2502	Domain of unknown function (DUF4139)	NA	NA	NA
PF00578	1814	873	1640	981	1303	1584	AhpC/TSA family	GO:0016209,GO:0016491	GO:0055114	NA
PF13360	1791	893	2106	1007	1309	1720	PQQ-like domain	NA	NA	NA
PF00082	1760	1472	1823	1422	1864	2189	Subtilase family	GO:0004252	GO:0006508	NA
PF00291	1750	1133	1543	1196	1484	2713	Pyridoxal-phosphate dependent enzyme	NA	NA	NA
PF03030	1746	1088	1458	1090	1644	1771	Inorganic H+ pyrophosphatase	GO:0004427,GO:0009678	GO:0015992	GO:0016020
PF00571	1743	2375	1384	2776	2177	3134	CBS domain	NA	NA	NA
PF01145	1734	1238	1406	1066	1415	1792	SPFH domain / Band 7 family	NA	NA	NA
PF00691	1724	928	1772	1023	1352	1345	OmpA family	NA	NA	NA
PF07596	1706	449	1769	531	968	455	Protein of unknown function (DUF1559)	NA	NA	NA
PF13499	1682	2059	1131	1534	3216	2493	EF-hand domain pair	GO:0005509	NA	NA
PF00112	1655	2307	1068	1394	1516	2313	Papain family cysteine protease	GO:0008234	GO:0006508	NA
PF00430	1648	804	1024	855	804	789	ATP synthase B/B' CF(0)	GO:0015078	GO:0015986	GO:0045263
PF13416	1641	895	1826	977	1256	1443	Bacterial extracellular solute-binding protein	NA	NA	NA
PF00202	1629	1213	1584	1136	1520	2892	Aminotransferase class-III	GO:0008483,GO:0030170	NA	NA
PF03781	1572	966	1445	961	1190	1979	Sulfatase-modifying factor enzyme 1	NA	NA	NA
PF04563	1553	477	1228	451	963	960	RNA polymerase beta subunit	GO:0003677,GO:0003899	GO:0006351	NA
PF00120	1550	839	1272	628	1181	1109	Glutamine synthetase, catalytic domain	GO:0004356	GO:0006807	NA
PF00044	1548	1287	1129	1122	1366	2132	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	GO:0016620	GO:0055114	NA
PF00318	1544	751	1117	693	1337	1131	Ribosomal protein S2	GO:0003735	GO:0006412	GO:0005622,GO:0005840
PF16378	1540	397	760	563	707	348	Domain of unknown function	NA	NA	NA
PF13187	1523	593	894	650	1006	950	4Fe-4S dicluster domain	NA	NA	NA
PF02867	1522	669	1365	761	1206	1203	Ribonucleotide reductase, barrel domain	NA	GO:0006260,GO:0055114	NA
PF13414	1491	1202	1306	928	1241	1991	TPR repeat	GO:0005515	NA	NA
PF12849	1482	407	878	417	661	591	PBP superfamily domain	NA	NA	NA
PF00572	1470	604	943	597	1052	1020	Ribosomal protein L13	GO:0003735	GO:0006412	GO:0005840
PF00687	1465	626	1136	648	1243	1361	Ribosomal protein L1p/L10e family	NA	NA	NA
PF00497	1462	732	1736	875	1054	1283	Bacterial extracellular solute-binding proteins, family 3	NA	NA	NA
PF16363	1449	847	1403	840	1219	2059	GDP-mannose 4,6 dehydratase	NA	NA	NA
PF00582	1427	2279	939	2510	1815	2500	Universal stress protein family	NA	GO:0006950	NA
PF00164	1424	613	979	593	1108	1110	Ribosomal protein S12/S23	GO:0003735	GO:0006412	GO:0005622,GO:0005840
PF13458	1419	1071	1585	1008	1279	1604	Periplasmic binding protein	NA	NA	NA
PF00344	1415	713	1311	728	1078	1953	SecY translocase	NA	GO:0015031	GO:0016020
PF00160	1378	940	997	833	1160	1286	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	GO:0003755	GO:0000413,GO:0006457	NA
PF00127	1373	343	1071	597	865	347	Copper binding proteins, plastocyanin/azurin family	GO:0005507,GO:0009055	NA	NA
PF00133	1355	807	1066	722	990	1816	tRNA synthetases class I (I, L, M and V)	GO:0000166,GO:0004812,GO:0005524	GO:0006418	NA
PF00550	1348	615	1168	721	972	1192	Phosphopantetheine attachment site	NA	NA	NA
PF13442	1344	1455	1068	1558	1570	1939	Cytochrome C oxidase, cbb3-type, subunit III	GO:0009055,GO:0020037	NA	NA
PF00108	1337	1108	1157	1180	1332	2013	Thiolase, N-terminal domain	GO:0016747	GO:0008152	NA
PF01979	1333	994	1468	898	1235	2727	Amidohydrolase family	GO:0016787	NA	NA
PF00535	1323	824	1314	861	983	2248	Glycosyl transferase family 2	NA	NA	NA
PF01039	1315	863	1086	798	1022	2004	Carboxyl transferase domain	NA	NA	NA
PF00177	1315	659	1006	611	1072	1093	Ribosomal protein S7p/S5e	NA	NA	NA
PF02800	1288	1112	932	936	1175	1799	Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain	GO:0016620	GO:0055114	NA
PF02738	1283	814	1499	901	1054	1747	Molybdopterin-binding domain of aldehyde dehydrogenase	GO:0016491	GO:0055114	NA
PF13855	1252	1288	894	1093	1182	1882	Leucine rich repeat	GO:0005515	NA	NA
PF00338	1251	439	839	464	977	1004	Ribosomal protein S10p/S20e	NA	NA	NA
PF00149	1248	1072	1073	936	1173	1997	Calcineurin-like phosphoesterase	GO:0016787	NA	NA
PF00416	1233	579	927	493	901	1076	Ribosomal protein S13/S18	GO:0003723,GO:0003735	GO:0006412	GO:0005622,GO:0005840
PF00116	1213	1031	886	1392	1465	1220	Cytochrome C oxidase subunit II, periplasmic domain	GO:0004129,GO:0005507	NA	GO:0016020
PF00441	1209	1004	1242	940	1118	2107	Acyl-CoA dehydrogenase, C-terminal domain	GO:0016627	GO:0055114	NA
PF00347	1199	457	921	475	937	1179	Ribosomal protein L6	GO:0003735,GO:0019843	GO:0006412	GO:0005840
PF00679	1195	601	867	467	957	1116	Elongation factor G C-terminus	NA	NA	NA
PF00109	1195	676	1136	619	942	1433	Beta-ketoacyl synthase, N-terminal domain	NA	NA	NA
PF04997	1188	324	998	355	756	770	RNA polymerase Rpb1, domain 1	GO:0003677,GO:0003899	GO:0006351	NA
PF00474	1180	975	1282	864	1147	1861	Sodium:solute symporter family	GO:0005215	GO:0006810,GO:0055085	GO:0016020
PF00252	1175	491	925	518	856	1103	Ribosomal protein L16p/L10e	GO:0003735	GO:0006412	GO:0005840
PF00330	1174	725	1047	636	1014	1444	Aconitase family (aconitate hydratase)	NA	GO:0008152	NA
PF02775	1167	973	1005	924	1126	1984	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain	GO:0003824,GO:0030976	NA	NA
PF00111	1162	551	1051	885	815	933	2Fe-2S iron-sulfur cluster binding domain	GO:0009055,GO:0051536	NA	NA
PF03947	1162	542	828	459	1051	1102	Ribosomal Proteins L2, C-terminal domain	GO:0003735	GO:0006412	GO:0005840
PF01434	1156	586	860	595	690	747	Peptidase family M41	GO:0004222,GO:0005524	GO:0006508	NA
PF00753	1152	978	1104	794	893	1980	Metallo-beta-lactamase superfamily	NA	NA	NA
PF00581	1150	798	900	727	875	1487	Rhodanese-like domain	NA	NA	NA
PF00034	1149	1103	941	1027	1193	1508	Cytochrome c	GO:0009055,GO:0020037	NA	NA
PF00542	1144	280	911	366	786	774	Ribosomal protein L7/L12 C-terminal domain	GO:0003735	GO:0006412	NA
PF00990	1142	883	1283	867	970	2291	Diguanylate cyclase, GGDEF domain	NA	NA	NA
PF00702	1136	1073	863	856	1515	1706	haloacid dehalogenase-like hydrolase	NA	NA	NA
PF00158	1136	1028	1207	926	1005	2365	Sigma-54 interaction domain	GO:0005524,GO:0008134	GO:0006355	NA
PF00238	1128	433	780	438	830	1138	Ribosomal protein L14p/L23e	GO:0003735	GO:0006412	GO:0005840
PF01593	1122	529	830	483	598	1234	Flavin containing amine oxidoreductase	GO:0016491	GO:0055114	NA
PF00180	1121	720	890	620	889	1359	Isocitrate/isopropylmalate dehydrogenase	GO:0016616	GO:0055114	NA
PF01138	1117	399	828	362	799	807	3' exoribonuclease family, domain 1	NA	NA	NA
PF04545	1112	595	966	645	800	846	Sigma-70, region 4	GO:0003677,GO:0003700,GO:0016987	GO:0006352,GO:0006355	NA
PF00146	1107	602	670	611	824	940	NADH dehydrogenase	NA	GO:0055114	GO:0016020
PF12838	1102	689	998	932	1025	1528	4Fe-4S dicluster domain	NA	NA	NA
PF00487	1099	706	889	726	933	955	Fatty acid desaturase	NA	GO:0006629	NA
PF01408	1096	686	1149	669	945	1401	Oxidoreductase family, NAD-binding Rossmann fold	GO:0016491	NA	NA
PF01458	1093	228	828	287	447	357	Uncharacterized protein family (UPF0051)	NA	GO:0016226	NA
PF01266	1084	850	1004	746	1144	2368	FAD dependent oxidoreductase	GO:0016491	GO:0055114	NA
PF03764	1081	617	868	533	1015	1027	Elongation factor G, domain IV	GO:0005525	NA	NA
PF00483	1059	659	1069	625	852	1694	Nucleotidyl transferase	GO:0016779	GO:0009058	NA
PF10431	1048	666	839	589	743	785	C-terminal, D2-small domain, of ClpB protein	NA	NA	NA
PF00561	1047	1272	1224	1001	1050	3070	alpha/beta hydrolase fold	NA	NA	NA
PF00573	1047	560	761	502	895	1036	Ribosomal protein L4/L1 family	GO:0003735	GO:0006412	GO:0005840
PF00248	1046	806	996	727	922	1775	Aldo/keto reductase family	NA	NA	NA
PF00296	1045	521	1043	571	761	1213	Luciferase-like monooxygenase	GO:0016705	GO:0055114	NA
PF00063	1044	962	623	716	3529	950	Myosin head (motor domain)	GO:0003774,GO:0005524	NA	GO:0016459
PF00285	1040	931	898	882	1089	1493	Citrate synthase	GO:0046912	NA	NA
PF00456	1038	573	810	599	677	979	Transketolase, thiamine diphosphate binding domain	NA	NA	NA
PF02823	1034	607	699	653	641	675	ATP synthase, Delta/Epsilon chain, beta-sandwich domain	GO:0046933,GO:0046961	GO:0015986	GO:0045261
PF00502	1031	305	1608	1432	529	331	Phycobilisome protein	NA	GO:0015979	GO:0030089
PF00574	1024	472	799	441	716	727	Clp protease	NA	NA	NA
PF13609	1024	561	1115	508	1088	630	Gram-negative porin	NA	NA	NA
PF00669	1021	758	932	672	897	1519	Bacterial flagellin N-terminal helical region	GO:0005198	GO:0071973	NA
PF00107	1014	657	937	673	799	1490	Zinc-binding dehydrogenase	NA	GO:0055114	NA
PF08240	1013	683	960	729	880	1487	Alcohol dehydrogenase GroES-like domain	NA	GO:0055114	NA
PF15511	1008	1313	1146	1134	1312	951	Centromere kinetochore component CENP-T histone fold	NA	NA	NA
PF00410	1004	371	793	391	739	1035	Ribosomal protein S8	GO:0003735	GO:0006412	GO:0005840
PF00283	1003	430	629	553	416	325	Cytochrome b559, alpha (gene psbE) and beta (gene psbF)subunits	NA	GO:0015979	NA
PF00557	1002	608	968	568	861	1480	Metallopeptidase family M24	NA	NA	NA
PF00033	996	691	717	984	716	865	Cytochrome b/b6/petB	NA	GO:0022904	GO:0016020
PF00696	986	564	752	504	672	1311	Amino acid kinase family	NA	NA	NA
PF00227	984	687	606	603	765	855	Proteasome subunit	GO:0004298	GO:0051603	GO:0005839
PF00153	978	1181	689	1004	1469	1409	Mitochondrial carrier protein	NA	NA	NA
PF00025	977	783	654	749	874	904	ADP-ribosylation factor family	GO:0005525	NA	NA
PF00189	973	386	737	301	695	925	Ribosomal protein S3, C-terminal domain	NA	NA	NA
PF00534	967	725	1012	675	748	2145	Glycosyl transferases group 1	NA	NA	NA
PF08281	966	644	839	650	677	1080	Sigma-70, region 4	GO:0003677,GO:0003700,GO:0016987	GO:0006352,GO:0006355	NA
PF14492	961	533	712	403	766	824	Elongation Factor G, domain II	NA	NA	NA
PF02779	961	668	898	671	808	1151	Transketolase, pyrimidine binding domain	NA	NA	NA
PF00312	960	406	627	372	635	620	Ribosomal protein S15	GO:0003735	GO:0006412	GO:0005622,GO:0005840
PF01193	955	323	905	333	702	877	RNA polymerase Rpb3/Rpb11 dimerisation domain	GO:0046983	GO:0006351	NA
PF00380	952	435	695	431	752	792	Ribosomal protein S9/S16	GO:0003735	GO:0006412	GO:0005840
PF06808	950	672	924	641	717	1790	Tripartite ATP-independent periplasmic transporter, DctM component	NA	NA	NA
PF00237	948	429	703	389	780	1026	Ribosomal protein L22p/L17e	GO:0003735	GO:0006412	GO:0005840
PF00411	937	413	658	408	735	874	Ribosomal protein S11	GO:0003735	GO:0006412	GO:0005840
PF01116	934	562	705	544	580	977	Fructose-bisphosphate aldolase class-II	GO:0008270,GO:0016832	GO:0005975	NA
PF00141	931	644	743	609	851	885	Peroxidase	GO:0004601,GO:0020037	GO:0006979,GO:0055114	NA
PF00346	925	525	705	538	709	832	Respiratory-chain NADH dehydrogenase, 49 Kd subunit	GO:0016651,GO:0048038,GO:0051287	GO:0055114	NA
PF01547	923	638	970	639	737	851	Bacterial extracellular solute-binding protein	GO:0005215	GO:0006810	NA
PF13304	922	686	892	578	777	1581	AAA domain, putative AbiEii toxin, Type IV TA system	GO:0005524	NA	NA
PF13247	918	970	914	1162	934	1323	4Fe-4S dicluster domain	NA	NA	NA
PF00829	916	364	603	330	594	578	Ribosomal prokaryotic L21 protein	NA	NA	GO:0005840
PF01576	914	990	139	382	5500	1009	Myosin tail	GO:0003774	NA	GO:0016459
PF02653	903	763	867	678	786	2075	Branched-chain amino acid transport system / permease component	GO:0005215	GO:0006810	GO:0016020
PF00276	899	363	579	302	689	819	Ribosomal protein L23	GO:0003735	GO:0006412	GO:0005840
PF00682	896	549	803	474	724	1146	HMGL-like	GO:0003824	NA	NA
PF01077	895	925	623	473	948	1638	Nitrite and sulphite reductase 4Fe-4S domain	GO:0016491,GO:0020037,GO:0051536	GO:0055114	NA
PF00122	894	944	664	689	1255	1401	E1-E2 ATPase	GO:0000166,GO:0046872	NA	NA
PF02770	889	727	797	684	800	1381	Acyl-CoA dehydrogenase, middle domain	GO:0003995	GO:0055114	NA
PF02786	888	599	758	558	747	1356	Carbamoyl-phosphate synthase L chain, ATP binding domain	GO:0005524	NA	NA
PF00861	887	392	682	390	713	936	Ribosomal L18p/L5e family	GO:0003735	GO:0006412	GO:0005622,GO:0005840
PF00231	882	429	607	404	701	780	ATP synthase	GO:0046933,GO:0046961	GO:0015986	GO:0045261
PF01618	881	387	946	480	738	792	MotA/TolQ/ExbB proton channel family	GO:0008565	GO:0006810	GO:0016020
PF02771	876	661	859	665	846	1389	Acyl-CoA dehydrogenase, N-terminal domain	GO:0016627,GO:0050660	GO:0008152,GO:0055114	NA
PF00298	872	348	589	320	682	703	Ribosomal protein L11, RNA binding domain	GO:0003735	GO:0006412	GO:0005840
PF00512	871	806	1015	664	765	2192	His Kinase A (phospho-acceptor) domain	GO:0000155	GO:0007165	NA
PF00117	867	502	722	430	700	1260	Glutamine amidotransferase class-I	NA	NA	NA
PF13715	862	369	673	344	617	638	CarboxypepD_reg-like domain	NA	NA	NA
PF00254	859	434	648	431	670	711	FKBP-type peptidyl-prolyl cis-trans isomerase	NA	GO:0006457	NA
PF00673	859	318	659	300	706	864	ribosomal L5P family C-terminus	NA	NA	NA
PF05550	858	1138	434	759	1017	1438	Pestivirus Npro endopeptidase C53	NA	GO:0016032,GO:0019082	NA
PF01521	856	298	841	363	511	385	Iron-sulphur cluster biosynthesis	NA	NA	NA
PF00162	856	547	634	554	633	1096	Phosphoglycerate kinase	GO:0004618	GO:0006096	NA
PF00203	851	339	662	271	648	736	Ribosomal protein S19	GO:0003735	GO:0006412	GO:0005840
PF01053	842	554	812	586	747	1417	Cys/Met metabolism PLP-dependent enzyme	GO:0030170	NA	NA
PF01656	840	594	849	541	661	1228	CobQ/CobB/MinD/ParA nucleotide binding domain	NA	NA	NA
PF00353	840	698	814	599	712	895	Hemolysin-type calcium-binding repeat (2 copies)	GO:0005509	NA	NA
PF13237	836	429	757	490	666	897	4Fe-4S dicluster domain	NA	NA	NA
PF00676	833	635	770	578	725	954	Dehydrogenase E1 component	GO:0016624	GO:0008152	NA
PF00081	828	209	584	290	368	239	Iron/manganese superoxide dismutases, alpha-hairpin domain	GO:0004784,GO:0046872	GO:0006801,GO:0055114	NA
PF01326	823	790	642	854	833	1365	Pyruvate phosphate dikinase, PEP/pyruvate binding domain	GO:0005524,GO:0016301	GO:0016310	NA
PF02463	823	529	699	470	718	1022	RecF/RecN/SMC N terminal domain	NA	NA	NA
PF02472	821	322	756	387	607	608	Biopolymer transport protein ExbD/TolR	GO:0005215	GO:0006810	GO:0016020
PF01078	819	370	433	438	433	498	Magnesium chelatase, subunit ChlI	NA	NA	NA
PF00244	817	817	452	659	789	976	14-3-3 protein	NA	NA	NA
PF16868	812	594	980	788	711	825	NMT1-like family	NA	NA	NA
PF00821	810	713	305	483	552	1585	Phosphoenolpyruvate carboxykinase	GO:0004611,GO:0005525	GO:0006094	NA
PF00013	805	589	614	386	907	792	KH domain	GO:0003723	NA	NA
PF02780	803	665	613	615	620	1106	Transketolase, C-terminal domain	GO:0003824	GO:0008152	NA
PF00226	802	666	502	464	575	799	DnaJ domain	NA	NA	NA
PF07995	795	366	818	448	549	790	Glucose / Sorbosone dehydrogenase	GO:0016901,GO:0048038	GO:0005975	NA
PF03063	795	1208	733	975	973	1495	Prismane/CO dehydrogenase family	GO:0016491	GO:0055114	NA
PF13561	789	484	810	492	689	1084	Enoyl-(Acyl carrier protein) reductase	NA	NA	NA
PF00152	784	532	752	455	708	1176	tRNA synthetases class II (D, K and N)	GO:0000166,GO:0004812,GO:0005524	GO:0006418	NA
PF00465	783	274	546	323	468	1080	Iron-containing alcohol dehydrogenase	GO:0016491,GO:0046872	GO:0055114	NA
PF13365	783	524	824	490	541	881	Trypsin-like peptidase domain	NA	NA	NA
PF00132	782	488	840	438	621	1135	Bacterial transferase hexapeptide (six repeats)	NA	NA	NA
PF00213	782	387	522	401	508	541	ATP synthase delta (OSCP) subunit	GO:0046933	GO:0015986	NA
