pfamacc	goterm	obsolete	consider	replaced	alt_id	go.name	go.namespace
35	PF00033	GO:0016020					membrane	cellular_component
36	PF00034	GO:0009055				GO:0009053;GO:0009054;	electron carrier activity	molecular_function
37	PF00034	GO:0020037					heme binding	molecular_function
38	PF00036	GO:0005509					calcium ion binding	molecular_function
39	PF00038	GO:0005198					structural molecule activity	molecular_function
40	PF00038	GO:0005882					intermediate filament	cellular_component
42	PF00041	GO:0005515				GO:0045308;	protein binding	molecular_function
43	PF00042	GO:0019825					oxygen binding	molecular_function
44	PF00042	GO:0020037					heme binding	molecular_function
45	PF00044	GO:0016620					oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	molecular_function
46	PF00044	GO:0055114					oxidation-reduction process	biological_process
47	PF00046	GO:0003677					DNA binding	molecular_function
53	PF00050	GO:0005515				GO:0045308;	protein binding	molecular_function
54	PF00056	GO:0016491					oxidoreductase activity	molecular_function
55	PF00056	GO:0055114					oxidation-reduction process	biological_process
56	PF00057	GO:0005515				GO:0045308;	protein binding	molecular_function
57	PF00060	GO:0004970					ionotropic glutamate receptor activity	molecular_function
58	PF00060	GO:0016020					membrane	cellular_component
59	PF00063	GO:0003774					motor activity	molecular_function
60	PF00063	GO:0005524					ATP binding	molecular_function
61	PF00063	GO:0016459					myosin complex	cellular_component
67	PF00067	GO:0005506					iron ion binding	molecular_function
68	PF00067	GO:0016705					oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	molecular_function
69	PF00067	GO:0020037					heme binding	molecular_function
70	PF00067	GO:0055114					oxidation-reduction process	biological_process
71	PF00069	GO:0004672				GO:0050222;	protein kinase activity	molecular_function
72	PF00069	GO:0005524					ATP binding	molecular_function
73	PF00069	GO:0006468					protein phosphorylation	biological_process
74	PF00070	GO:0016491					oxidoreductase activity	molecular_function
75	PF00070	GO:0055114					oxidation-reduction process	biological_process
76	PF00071	GO:0005525					GTP binding	molecular_function
77	PF00071	GO:0007264					small GTPase mediated signal transduction	biological_process
78	PF00072	GO:0000160					phosphorelay signal transduction system	biological_process
79	PF00073	GO:0005198					structural molecule activity	molecular_function
80	PF00073	GO:0019028				GO:0046728;	viral capsid	cellular_component
81	PF00075	GO:0003676					nucleic acid binding	molecular_function
82	PF00075	GO:0004523				GO:0004524;	RNA-DNA hybrid ribonuclease activity	molecular_function
83	PF00076	GO:0003676					nucleic acid binding	molecular_function
84	PF00080	GO:0046872					metal ion binding	molecular_function
85	PF00080	GO:0006801					superoxide metabolic process	biological_process
86	PF00080	GO:0055114					oxidation-reduction process	biological_process
87	PF00081	GO:0004784				GO:0004785;GO:0008382;GO:0008383;GO:0016954;	superoxide dismutase activity	molecular_function
88	PF00081	GO:0046872					metal ion binding	molecular_function
89	PF00081	GO:0006801					superoxide metabolic process	biological_process
90	PF00081	GO:0055114					oxidation-reduction process	biological_process
91	PF00082	GO:0004252					serine-type endopeptidase activity	molecular_function
92	PF00082	GO:0006508					proteolysis	biological_process
93	PF00083	GO:0022857				GO:0005386;GO:0015646;	transmembrane transporter activity	molecular_function
94	PF00083	GO:0055085					transmembrane transport	biological_process
95	PF00083	GO:0016021					integral component of membrane	cellular_component
96	PF00085	GO:0045454				GO:0030503;GO:0045867;GO:0045868;	cell redox homeostasis	biological_process
99	PF00089	GO:0004252					serine-type endopeptidase activity	molecular_function
100	PF00089	GO:0006508					proteolysis	biological_process
101	PF00091	GO:0003924					GTPase activity	molecular_function
102	PF00093	GO:0005515				GO:0045308;	protein binding	molecular_function
103	PF00095	GO:0030414					peptidase inhibitor activity	molecular_function
104	PF00095	GO:0005576					extracellular region	cellular_component
105	PF00096	GO:0046872					metal ion binding	molecular_function
106	PF00097	GO:0046872					metal ion binding	molecular_function
107	PF00098	GO:0003676					nucleic acid binding	molecular_function
108	PF00098	GO:0008270					zinc ion binding	molecular_function
109	PF00102	GO:0004725					protein tyrosine phosphatase activity	molecular_function
110	PF00102	GO:0006470					protein dephosphorylation	biological_process
113	PF00104	GO:0006355				GO:0032583;GO:0045449;GO:0061019;	regulation of transcription, DNA-templated	biological_process
114	PF00104	GO:0043401					steroid hormone mediated signaling pathway	biological_process
115	PF00105	GO:0003700				GO:0000130;	transcription factor activity, sequence-specific DNA binding	molecular_function
116	PF00105	GO:0008270					zinc ion binding	molecular_function
117	PF00105	GO:0043565					sequence-specific DNA binding	molecular_function
118	PF00105	GO:0006355				GO:0032583;GO:0045449;GO:0061019;	regulation of transcription, DNA-templated	biological_process
119	PF00105	GO:0005634					nucleus	cellular_component
120	PF00106	GO:0016491					oxidoreductase activity	molecular_function
121	PF00106	GO:0008152					metabolic process	biological_process
122	PF00107	GO:0055114					oxidation-reduction process	biological_process
123	PF00108	GO:0016747					transferase activity, transferring acyl groups other than amino-acyl groups	molecular_function
124	PF00108	GO:0008152					metabolic process	biological_process
125	PF00110	GO:0005102					receptor binding	molecular_function
126	PF00110	GO:0007275					multicellular organismal development	biological_process
127	PF00110	GO:0016055				GO:0007222;	Wnt signaling pathway	biological_process
128	PF00110	GO:0005576					extracellular region	cellular_component
129	PF00111	GO:0009055				GO:0009053;GO:0009054;	electron carrier activity	molecular_function
130	PF00111	GO:0051536					iron-sulfur cluster binding	molecular_function
131	PF00112	GO:0008234				GO:0004220;	cysteine-type peptidase activity	molecular_function
132	PF00112	GO:0006508					proteolysis	biological_process
133	PF00113	GO:0000287					magnesium ion binding	molecular_function
134	PF00113	GO:0004634					phosphopyruvate hydratase activity	molecular_function
135	PF00113	GO:0006096				GO:0019641;GO:0019642;	glycolytic process	biological_process
136	PF00113	GO:0000015					phosphopyruvate hydratase complex	cellular_component
137	PF00114	GO:0007155					cell adhesion	biological_process
138	PF00114	GO:0009289					pilus	cellular_component
139	PF00115	GO:0004129					cytochrome-c oxidase activity	molecular_function
140	PF00115	GO:0005506					iron ion binding	molecular_function
141	PF00115	GO:0009055				GO:0009053;GO:0009054;	electron carrier activity	molecular_function
142	PF00115	GO:0020037					heme binding	molecular_function
143	PF00115	GO:0009060					aerobic respiration	biological_process
144	PF00115	GO:0055114					oxidation-reduction process	biological_process
145	PF00115	GO:0016021					integral component of membrane	cellular_component
146	PF00116	GO:0004129					cytochrome-c oxidase activity	molecular_function
147	PF00116	GO:0005507					copper ion binding	molecular_function
148	PF00116	GO:0016020					membrane	cellular_component
149	PF00118	GO:0005524					ATP binding	molecular_function
150	PF00119	GO:0015078					hydrogen ion transmembrane transporter activity	molecular_function
151	PF00119	GO:0015986					ATP synthesis coupled proton transport	biological_process
152	PF00120	GO:0004356					glutamate-ammonia ligase activity	molecular_function
153	PF00120	GO:0006807					nitrogen compound metabolic process	biological_process
154	PF00121	GO:0004807					triose-phosphate isomerase activity	molecular_function
155	PF00121	GO:0008152					metabolic process	biological_process
156	PF00122	GO:0000166					nucleotide binding	molecular_function
157	PF00122	GO:0046872					metal ion binding	molecular_function
160	PF00124	GO:0045156					electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity	molecular_function
161	PF00124	GO:0009772					photosynthetic electron transport in photosystem II	biological_process
162	PF00124	GO:0019684					photosynthesis, light reaction	biological_process
163	PF00125	GO:0003677					DNA binding	molecular_function
164	PF00126	GO:0003700				GO:0000130;	transcription factor activity, sequence-specific DNA binding	molecular_function
165	PF00126	GO:0006355				GO:0032583;GO:0045449;GO:0061019;	regulation of transcription, DNA-templated	biological_process
166	PF00127	GO:0005507					copper ion binding	molecular_function
167	PF00127	GO:0009055				GO:0009053;GO:0009054;	electron carrier activity	molecular_function
168	PF00128	GO:0003824					catalytic activity	molecular_function
169	PF00128	GO:0005975					carbohydrate metabolic process	biological_process
170	PF00129	GO:0006955					immune response	biological_process
171	PF00130	GO:0035556				GO:0007242;GO:0007243;GO:0023013;GO:0023034;	intracellular signal transduction	biological_process
173	PF00133	GO:0000166					nucleotide binding	molecular_function
174	PF00133	GO:0004812				GO:0017100;	aminoacyl-tRNA ligase activity	molecular_function
175	PF00133	GO:0005524					ATP binding	molecular_function
176	PF00133	GO:0006418					tRNA aminoacylation for protein translation	biological_process
177	PF00136	GO:0000166					nucleotide binding	molecular_function
178	PF00136	GO:0003677					DNA binding	molecular_function
179	PF00137	GO:0015078					hydrogen ion transmembrane transporter activity	molecular_function
180	PF00137	GO:0015991					ATP hydrolysis coupled proton transport	biological_process
181	PF00137	GO:0033177					proton-transporting two-sector ATPase complex, proton-transporting domain	cellular_component
182	PF00139	GO:0030246				GO:0005529;	carbohydrate binding	molecular_function
183	PF00140	GO:0003677					DNA binding	molecular_function
184	PF00140	GO:0003700				GO:0000130;	transcription factor activity, sequence-specific DNA binding	molecular_function
185	PF00140	GO:0016987					sigma factor activity	molecular_function
186	PF00140	GO:0006352					DNA-templated transcription, initiation	biological_process
187	PF00140	GO:0006355				GO:0032583;GO:0045449;GO:0061019;	regulation of transcription, DNA-templated	biological_process
188	PF00141	GO:0004601				GO:0016685;GO:0016686;GO:0016687;GO:0016693;	peroxidase activity	molecular_function
189	PF00141	GO:0020037					heme binding	molecular_function
190	PF00141	GO:0006979					response to oxidative stress	biological_process
191	PF00141	GO:0055114					oxidation-reduction process	biological_process
195	PF00146	GO:0055114					oxidation-reduction process	biological_process
196	PF00146	GO:0016020					membrane	cellular_component
197	PF00148	GO:0016491					oxidoreductase activity	molecular_function
198	PF00148	GO:0055114					oxidation-reduction process	biological_process
199	PF00149	GO:0016787					hydrolase activity	molecular_function
200	PF00150	GO:0004553				GO:0016800;	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function
201	PF00150	GO:0005975					carbohydrate metabolic process	biological_process
202	PF00152	GO:0000166					nucleotide binding	molecular_function
203	PF00152	GO:0004812				GO:0017100;	aminoacyl-tRNA ligase activity	molecular_function
204	PF00152	GO:0005524					ATP binding	molecular_function
205	PF00152	GO:0006418					tRNA aminoacylation for protein translation	biological_process
206	PF00154	GO:0003697				GO:0003698;GO:0003699;	single-stranded DNA binding	molecular_function
207	PF00154	GO:0005524					ATP binding	molecular_function
208	PF00154	GO:0006281					DNA repair	biological_process
209	PF00154	GO:0009432					SOS response	biological_process
210	PF00155	GO:0030170					pyridoxal phosphate binding	molecular_function
211	PF00155	GO:0009058					biosynthetic process	biological_process
212	PF00156	GO:0009116					nucleoside metabolic process	biological_process
213	PF00157	GO:0003700				GO:0000130;	transcription factor activity, sequence-specific DNA binding	molecular_function
214	PF00157	GO:0006355				GO:0032583;GO:0045449;GO:0061019;	regulation of transcription, DNA-templated	biological_process
215	PF00158	GO:0005524					ATP binding	molecular_function
216	PF00158	GO:0008134					transcription factor binding	molecular_function
217	PF00158	GO:0006355				GO:0032583;GO:0045449;GO:0061019;	regulation of transcription, DNA-templated	biological_process
218	PF00159	GO:0005179					hormone activity	molecular_function
219	PF00159	GO:0005576					extracellular region	cellular_component
220	PF00160	GO:0003755				GO:0004752;GO:0042028;	peptidyl-prolyl cis-trans isomerase activity	molecular_function
221	PF00160	GO:0000413					protein peptidyl-prolyl isomerization	biological_process
222	PF00160	GO:0006457				GO:0007022;GO:0007024;GO:0007025;	protein folding	biological_process
223	PF00161	GO:0030598					rRNA N-glycosylase activity	molecular_function
224	PF00161	GO:0017148				GO:0016478;	negative regulation of translation	biological_process
225	PF00162	GO:0004618					phosphoglycerate kinase activity	molecular_function
226	PF00162	GO:0006096				GO:0019641;GO:0019642;	glycolytic process	biological_process
227	PF00163	GO:0019843					rRNA binding	molecular_function
228	PF00163	GO:0005622					intracellular	cellular_component
229	PF00164	GO:0003735				GO:0003736;GO:0003737;GO:0003738;GO:0003739;GO:0003740;GO:0003741;GO:0003742;	structural constituent of ribosome	molecular_function
230	PF00164	GO:0006412				GO:0006416;GO:0006453;GO:0043037;	translation	biological_process
231	PF00164	GO:0005622					intracellular	cellular_component
232	PF00164	GO:0005840				GO:0033279;	ribosome	cellular_component
233	PF00165	GO:0003700				GO:0000130;	transcription factor activity, sequence-specific DNA binding	molecular_function
234	PF00165	GO:0043565					sequence-specific DNA binding	molecular_function
235	PF00165	GO:0006355				GO:0032583;GO:0045449;GO:0061019;	regulation of transcription, DNA-templated	biological_process
236	PF00166	GO:0006457				GO:0007022;GO:0007024;GO:0007025;	protein folding	biological_process
237	PF00166	GO:0005737					cytoplasm	cellular_component
238	PF00167	GO:0008083					growth factor activity	molecular_function
239	PF00168	GO:0005515				GO:0045308;	protein binding	molecular_function
240	PF00170	GO:0003700				GO:0000130;	transcription factor activity, sequence-specific DNA binding	molecular_function
241	PF00170	GO:0043565					sequence-specific DNA binding	molecular_function
242	PF00170	GO:0006355				GO:0032583;GO:0045449;GO:0061019;	regulation of transcription, DNA-templated	biological_process
243	PF00171	GO:0016491					oxidoreductase activity	molecular_function
244	PF00171	GO:0008152					metabolic process	biological_process
245	PF00171	GO:0055114					oxidation-reduction process	biological_process
246	PF00172	GO:0000981					RNA polymerase II transcription factor activity, sequence-specific DNA binding	molecular_function
247	PF00172	GO:0008270					zinc ion binding	molecular_function
248	PF00172	GO:0006355				GO:0032583;GO:0045449;GO:0061019;	regulation of transcription, DNA-templated	biological_process
249	PF00172	GO:0005634					nucleus	cellular_component
250	PF00174	GO:0042128					nitrate assimilation	biological_process
251	PF00175	GO:0016491					oxidoreductase activity	molecular_function
252	PF00175	GO:0055114					oxidation-reduction process	biological_process
253	PF00176	GO:0005524					ATP binding	molecular_function
254	PF00178	GO:0003700				GO:0000130;	transcription factor activity, sequence-specific DNA binding	molecular_function
255	PF00178	GO:0043565					sequence-specific DNA binding	molecular_function
256	PF00178	GO:0006355				GO:0032583;GO:0045449;GO:0061019;	regulation of transcription, DNA-templated	biological_process
257	PF00180	GO:0016616					oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	molecular_function
258	PF00180	GO:0055114					oxidation-reduction process	biological_process
259	PF00181	GO:0003735				GO:0003736;GO:0003737;GO:0003738;GO:0003739;GO:0003740;GO:0003741;GO:0003742;	structural constituent of ribosome	molecular_function
260	PF00181	GO:0006412				GO:0006416;GO:0006453;GO:0043037;	translation	biological_process
261	PF00181	GO:0005622					intracellular	cellular_component
262	PF00181	GO:0005840				GO:0033279;	ribosome	cellular_component
263	PF00182	GO:0004568					chitinase activity	molecular_function
264	PF00182	GO:0006032					chitin catabolic process	biological_process
265	PF00182	GO:0016998				GO:0044039;	cell wall macromolecule catabolic process	biological_process
266	PF00183	GO:0005524					ATP binding	molecular_function
267	PF00183	GO:0051082					unfolded protein binding	molecular_function
268	PF00183	GO:0006457				GO:0007022;GO:0007024;GO:0007025;	protein folding	biological_process
269	PF00183	GO:0006950					response to stress	biological_process
272	PF00185	GO:0016597					amino acid binding	molecular_function
273	PF00185	GO:0016743					carboxyl- or carbamoyltransferase activity	molecular_function
274	PF00185	GO:0006520				GO:0006519;	cellular amino acid metabolic process	biological_process
275	PF00186	GO:0004146					dihydrofolate reductase activity	molecular_function
276	PF00186	GO:0006545					glycine biosynthetic process	biological_process
277	PF00186	GO:0009165					nucleotide biosynthetic process	biological_process
278	PF00186	GO:0055114					oxidation-reduction process	biological_process
279	PF00187	GO:0008061					chitin binding	molecular_function
280	PF00190	GO:0045735					nutrient reservoir activity	molecular_function
281	PF00191	GO:0005509					calcium ion binding	molecular_function
282	PF00191	GO:0005544					calcium-dependent phospholipid binding	molecular_function
283	PF00193	GO:0005540					hyaluronic acid binding	molecular_function
284	PF00193	GO:0007155					cell adhesion	biological_process
285	PF00196	GO:0006355				GO:0032583;GO:0045449;GO:0061019;	regulation of transcription, DNA-templated	biological_process
287	PF00198	GO:0016746				GO:0008415;	transferase activity, transferring acyl groups	molecular_function
288	PF00198	GO:0008152					metabolic process	biological_process
289	PF00199	GO:0004096				GO:0016952;GO:0016953;	catalase activity	molecular_function
290	PF00199	GO:0020037					heme binding	molecular_function
291	PF00199	GO:0055114					oxidation-reduction process	biological_process
292	PF00201	GO:0016758					transferase activity, transferring hexosyl groups	molecular_function
293	PF00201	GO:0008152					metabolic process	biological_process
294	PF00202	GO:0008483					transaminase activity	molecular_function
295	PF00202	GO:0030170					pyridoxal phosphate binding	molecular_function
296	PF00203	GO:0003735				GO:0003736;GO:0003737;GO:0003738;GO:0003739;GO:0003740;GO:0003741;GO:0003742;	structural constituent of ribosome	molecular_function
297	PF00203	GO:0006412				GO:0006416;GO:0006453;GO:0043037;	translation	biological_process
298	PF00203	GO:0005840				GO:0033279;	ribosome	cellular_component
299	PF00204	GO:0003677					DNA binding	molecular_function
300	PF00204	GO:0003918					DNA topoisomerase type II (ATP-hydrolyzing) activity	molecular_function
301	PF00204	GO:0005524					ATP binding	molecular_function
302	PF00204	GO:0006265					DNA topological change	biological_process
303	PF00205	GO:0000287					magnesium ion binding	molecular_function
304	PF00205	GO:0030976					thiamine pyrophosphate binding	molecular_function
305	PF00207	GO:0004866					endopeptidase inhibitor activity	molecular_function
306	PF00208	GO:0016491					oxidoreductase activity	molecular_function
307	PF00208	GO:0006520				GO:0006519;	cellular amino acid metabolic process	biological_process
308	PF00208	GO:0055114					oxidation-reduction process	biological_process
309	PF00209	GO:0005328					neurotransmitter:sodium symporter activity	molecular_function
310	PF00209	GO:0006836					neurotransmitter transport	biological_process
311	PF00209	GO:0016021					integral component of membrane	cellular_component
312	PF00210	GO:0008199					ferric iron binding	molecular_function
313	PF00210	GO:0006879					cellular iron ion homeostasis	biological_process
314	PF00211	GO:0016849					phosphorus-oxygen lyase activity	molecular_function
315	PF00211	GO:0009190					cyclic nucleotide biosynthetic process	biological_process
316	PF00211	GO:0035556				GO:0007242;GO:0007243;GO:0023013;GO:0023034;	intracellular signal transduction	biological_process
319	PF00213	GO:0046933					proton-transporting ATP synthase activity, rotational mechanism	molecular_function
320	PF00213	GO:0015986					ATP synthesis coupled proton transport	biological_process
321	PF00214	GO:0005179					hormone activity	molecular_function
322	PF00214	GO:0005576					extracellular region	cellular_component
323	PF00215	GO:0004590					orotidine-5'-phosphate decarboxylase activity	molecular_function
324	PF00215	GO:0006207					'de novo' pyrimidine nucleobase biosynthetic process	biological_process
325	PF00216	GO:0003677					DNA binding	molecular_function
326	PF00217	GO:0016301					kinase activity	molecular_function
327	PF00217	GO:0016772					transferase activity, transferring phosphorus-containing groups	molecular_function
328	PF00218	GO:0004425					indole-3-glycerol-phosphate synthase activity	molecular_function
329	PF00219	GO:0005520					insulin-like growth factor binding	molecular_function
330	PF00219	GO:0001558					regulation of cell growth	biological_process
331	PF00219	GO:0005576					extracellular region	cellular_component
334	PF00223	GO:0015979					photosynthesis	biological_process
335	PF00223	GO:0009522					photosystem I	cellular_component
336	PF00223	GO:0009579					thylakoid	cellular_component
337	PF00223	GO:0016021					integral component of membrane	cellular_component
338	PF00224	GO:0000287					magnesium ion binding	molecular_function
339	PF00224	GO:0004743					pyruvate kinase activity	molecular_function
340	PF00224	GO:0030955					potassium ion binding	molecular_function
341	PF00224	GO:0006096				GO:0019641;GO:0019642;	glycolytic process	biological_process
342	PF00225	GO:0003777					microtubule motor activity	molecular_function
343	PF00225	GO:0005524					ATP binding	molecular_function
344	PF00225	GO:0008017					microtubule binding	molecular_function
345	PF00225	GO:0007018					microtubule-based movement	biological_process
346	PF00227	GO:0004298					threonine-type endopeptidase activity	molecular_function
347	PF00227	GO:0051603					proteolysis involved in cellular protein catabolic process	biological_process
348	PF00227	GO:0005839				GO:0000503;	proteasome core complex	cellular_component
354	PF00230	GO:0005215				GO:0005478;	transporter activity	molecular_function
355	PF00230	GO:0006810				GO:0015457;GO:0015460;	transport	biological_process
356	PF00230	GO:0016020					membrane	cellular_component
357	PF00231	GO:0046933					proton-transporting ATP synthase activity, rotational mechanism	molecular_function
358	PF00231	GO:0046961					proton-transporting ATPase activity, rotational mechanism	molecular_function
359	PF00231	GO:0015986					ATP synthesis coupled proton transport	biological_process
360	PF00231	GO:0045261					proton-transporting ATP synthase complex, catalytic core F(1)	cellular_component
361	PF00232	GO:0004553				GO:0016800;	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function
362	PF00232	GO:0005975					carbohydrate metabolic process	biological_process
363	PF00233	GO:0004114					3',5'-cyclic-nucleotide phosphodiesterase activity	molecular_function
364	PF00233	GO:0007165				GO:0023033;	signal transduction	biological_process
367	PF00237	GO:0003735				GO:0003736;GO:0003737;GO:0003738;GO:0003739;GO:0003740;GO:0003741;GO:0003742;	structural constituent of ribosome	molecular_function
368	PF00237	GO:0006412				GO:0006416;GO:0006453;GO:0043037;	translation	biological_process
369	PF00237	GO:0005840				GO:0033279;	ribosome	cellular_component
370	PF00238	GO:0003735				GO:0003736;GO:0003737;GO:0003738;GO:0003739;GO:0003740;GO:0003741;GO:0003742;	structural constituent of ribosome	molecular_function
371	PF00238	GO:0006412				GO:0006416;GO:0006453;GO:0043037;	translation	biological_process
372	PF00238	GO:0005840				GO:0033279;	ribosome	cellular_component
373	PF00239	GO:0000150					recombinase activity	molecular_function
374	PF00239	GO:0003677					DNA binding	molecular_function
375	PF00239	GO:0006310					DNA recombination	biological_process
376	PF00240	GO:0005515				GO:0045308;	protein binding	molecular_function
377	PF00241	GO:0003779					actin binding	molecular_function
378	PF00241	GO:0005622					intracellular	cellular_component
383	PF00245	GO:0016791				GO:0003869;GO:0016302;	phosphatase activity	molecular_function
384	PF00245	GO:0008152					metabolic process	biological_process
385	PF00246	GO:0004181					metallocarboxypeptidase activity	molecular_function
386	PF00246	GO:0008270					zinc ion binding	molecular_function
387	PF00246	GO:0006508					proteolysis	biological_process
388	PF00250	GO:0003700				GO:0000130;	transcription factor activity, sequence-specific DNA binding	molecular_function
389	PF00250	GO:0043565					sequence-specific DNA binding	molecular_function
390	PF00250	GO:0006355				GO:0032583;GO:0045449;GO:0061019;	regulation of transcription, DNA-templated	biological_process
391	PF00252	GO:0003735				GO:0003736;GO:0003737;GO:0003738;GO:0003739;GO:0003740;GO:0003741;GO:0003742;	structural constituent of ribosome	molecular_function
392	PF00252	GO:0006412				GO:0006416;GO:0006453;GO:0043037;	translation	biological_process
393	PF00252	GO:0005840				GO:0033279;	ribosome	cellular_component
394	PF00253	GO:0003735				GO:0003736;GO:0003737;GO:0003738;GO:0003739;GO:0003740;GO:0003741;GO:0003742;	structural constituent of ribosome	molecular_function
395	PF00253	GO:0006412				GO:0006416;GO:0006453;GO:0043037;	translation	biological_process
396	PF00253	GO:0005622					intracellular	cellular_component
397	PF00253	GO:0005840				GO:0033279;	ribosome	cellular_component
398	PF00254	GO:0006457				GO:0007022;GO:0007024;GO:0007025;	protein folding	biological_process
399	PF00255	GO:0004602				GO:0016224;	glutathione peroxidase activity	molecular_function
400	PF00255	GO:0006979					response to oxidative stress	biological_process
401	PF00255	GO:0055114					oxidation-reduction process	biological_process
402	PF00257	GO:0006950					response to stress	biological_process
403	PF00257	GO:0009415					response to water	biological_process
404	PF00258	GO:0010181					FMN binding	molecular_function
409	PF00262	GO:0005509					calcium ion binding	molecular_function
410	PF00262	GO:0051082					unfolded protein binding	molecular_function
411	PF00262	GO:0006457				GO:0007022;GO:0007024;GO:0007025;	protein folding	biological_process
412	PF00262	GO:0005783					endoplasmic reticulum	cellular_component
413	PF00263	GO:0009306				GO:0045166;GO:0045731;	protein secretion	biological_process
414	PF00264	GO:0016491					oxidoreductase activity	molecular_function
415	PF00264	GO:0008152					metabolic process	biological_process
416	PF00265	GO:0004797					thymidine kinase activity	molecular_function
417	PF00265	GO:0005524					ATP binding	molecular_function
418	PF00267	GO:0015288					porin activity	molecular_function
419	PF00267	GO:0006810				GO:0015457;GO:0015460;	transport	biological_process
420	PF00267	GO:0016020					membrane	cellular_component
421	PF00268	GO:0009186					deoxyribonucleoside diphosphate metabolic process	biological_process
422	PF00268	GO:0055114					oxidation-reduction process	biological_process
423	PF00269	GO:0003690					double-stranded DNA binding	molecular_function
424	PF00269	GO:0006265					DNA topological change	biological_process
425	PF00270	GO:0003676					nucleic acid binding	molecular_function
426	PF00270	GO:0005524					ATP binding	molecular_function
429	PF00274	GO:0004332					fructose-bisphosphate aldolase activity	molecular_function
430	PF00274	GO:0006096				GO:0019641;GO:0019642;	glycolytic process	biological_process
431	PF00275	GO:0016765				GO:0016766;	transferase activity, transferring alkyl or aryl (other than methyl) groups	molecular_function
432	PF00276	GO:0003735				GO:0003736;GO:0003737;GO:0003738;GO:0003739;GO:0003740;GO:0003741;GO:0003742;	structural constituent of ribosome	molecular_function
433	PF00276	GO:0006412				GO:0006416;GO:0006453;GO:0043037;	translation	biological_process
434	PF00276	GO:0005840				GO:0033279;	ribosome	cellular_component
437	PF00278	GO:0003824					catalytic activity	molecular_function
438	PF00280	GO:0004867					serine-type endopeptidase inhibitor activity	molecular_function
439	PF00280	GO:0009611				GO:0002245;	response to wounding	biological_process
440	PF00282	GO:0016831					carboxy-lyase activity	molecular_function
441	PF00282	GO:0030170					pyridoxal phosphate binding	molecular_function
442	PF00282	GO:0019752					carboxylic acid metabolic process	biological_process
443	PF00283	GO:0015979					photosynthesis	biological_process
444	PF00284	GO:0046872					metal ion binding	molecular_function
445	PF00284	GO:0015979					photosynthesis	biological_process
446	PF00284	GO:0009523					photosystem II	cellular_component
447	PF00284	GO:0016021					integral component of membrane	cellular_component
448	PF00285	GO:0046912					transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer	molecular_function
451	PF00287	GO:0006813				GO:0015458;	potassium ion transport	biological_process
