Molecular Function,Sample 1 Molecular Function Count,Sample 2 Molecular Function Count
http://purl.obolibrary.org/obo/GO_0071949,2531,3123
http://purl.obolibrary.org/obo/GO_0016901,2521,3219
http://purl.obolibrary.org/obo/GO_0048038,3343,4476
http://purl.obolibrary.org/obo/GO_0016209,2529,3348
http://purl.obolibrary.org/obo/GO_0016616,7836,10138
http://purl.obolibrary.org/obo/GO_0051287,10462,13689
http://purl.obolibrary.org/obo/GO_0016810,3448,4306
http://purl.obolibrary.org/obo/GO_0051537,3613,4326
http://purl.obolibrary.org/obo/GO_0004872,4752,5335
http://purl.obolibrary.org/obo/GO_0004129,2847,3183
http://purl.obolibrary.org/obo/GO_0009055,9411,11253
http://purl.obolibrary.org/obo/GO_0004356,2639,3635
http://purl.obolibrary.org/obo/GO_0008658,2645,3378
http://purl.obolibrary.org/obo/GO_0008236,3458,4190
http://purl.obolibrary.org/obo/GO_0010181,3738,4555
http://purl.obolibrary.org/obo/GO_0008080,3134,3873
http://purl.obolibrary.org/obo/GO_0016866,1867,2536
http://purl.obolibrary.org/obo/GO_0031419,3090,4007
http://purl.obolibrary.org/obo/GO_0042626,2374,3139
http://purl.obolibrary.org/obo/GO_0005509,3910,4911
http://purl.obolibrary.org/obo/GO_0004066,1837,2312
http://purl.obolibrary.org/obo/GO_0016614,2785,3251
http://purl.obolibrary.org/obo/GO_0015930,2271,3018
http://purl.obolibrary.org/obo/GO_0016638,1915,2539
http://purl.obolibrary.org/obo/GO_0008519,1699,2176
http://purl.obolibrary.org/obo/GO_0008408,3322,3886
http://purl.obolibrary.org/obo/GO_0016765,2331,2997
http://purl.obolibrary.org/obo/GO_0003918,2815,3444
http://purl.obolibrary.org/obo/GO_0016876,1994,2661
http://purl.obolibrary.org/obo/GO_0004222,5805,7290
http://purl.obolibrary.org/obo/GO_0004375,1560,2125
http://purl.obolibrary.org/obo/GO_0043565,4950,5790
http://purl.obolibrary.org/obo/GO_0016746,3369,4295
http://purl.obolibrary.org/obo/GO_0004659,1528,1905
http://purl.obolibrary.org/obo/GO_0018580,1514,1580
http://purl.obolibrary.org/obo/GO_0016624,1513,1934
http://purl.obolibrary.org/obo/GO_0046912,1468,1770
http://purl.obolibrary.org/obo/GO_0015238,1414,1594
http://purl.obolibrary.org/obo/GO_0015297,1414,1594
http://purl.obolibrary.org/obo/GO_0004427,1571,2081
http://purl.obolibrary.org/obo/GO_0009678,1410,1909
http://purl.obolibrary.org/obo/GO_0000287,4996,6214
http://purl.obolibrary.org/obo/GO_0030246,2087,2492
http://purl.obolibrary.org/obo/GO_0003899,8190,10300
http://purl.obolibrary.org/obo/GO_0004871,2922,3633
http://purl.obolibrary.org/obo/GO_0008565,1721,2008
http://purl.obolibrary.org/obo/GO_0016829,4674,5718
http://purl.obolibrary.org/obo/GO_0015171,1332,1648
http://purl.obolibrary.org/obo/GO_0003723,10066,12549
http://purl.obolibrary.org/obo/GO_0009982,2155,2506
http://purl.obolibrary.org/obo/GO_0004813,1279,1648
http://purl.obolibrary.org/obo/GO_0003857,2186,2859
http://purl.obolibrary.org/obo/GO_0016772,2132,2733
http://purl.obolibrary.org/obo/GO_0046872,8980,11459
http://purl.obolibrary.org/obo/GO_0003916,2214,2618
http://purl.obolibrary.org/obo/GO_0000150,1537,2662
http://purl.obolibrary.org/obo/GO_0016742,1389,1701
http://purl.obolibrary.org/obo/GO_0016874,1973,2527
http://purl.obolibrary.org/obo/GO_0008170,1877,2653
http://purl.obolibrary.org/obo/GO_0016301,1822,2250
http://purl.obolibrary.org/obo/GO_0008237,2435,2933
http://purl.obolibrary.org/obo/GO_0008270,7776,9805
http://purl.obolibrary.org/obo/GO_0003755,1124,1317
http://purl.obolibrary.org/obo/GO_0016831,2197,2720
http://purl.obolibrary.org/obo/GO_0016740,3851,4858
http://purl.obolibrary.org/obo/GO_0003887,2271,2855
http://purl.obolibrary.org/obo/GO_0004616,1298,1838
http://purl.obolibrary.org/obo/GO_0008173,1449,1711
http://purl.obolibrary.org/obo/GO_0030151,1569,1871
http://purl.obolibrary.org/obo/GO_0004013,1037,1324
http://purl.obolibrary.org/obo/GO_0008146,1176,1442
http://purl.obolibrary.org/obo/GO_0016846,994,1243
http://purl.obolibrary.org/obo/GO_0005328,993,1159
http://purl.obolibrary.org/obo/GO_0015655,991,1136
http://purl.obolibrary.org/obo/GO_0004176,1719,2123
http://purl.obolibrary.org/obo/GO_0004733,949,1437
http://purl.obolibrary.org/obo/GO_0008324,2459,2995
http://purl.obolibrary.org/obo/GO_0004618,947,1182
http://purl.obolibrary.org/obo/GO_0017153,939,1081
http://purl.obolibrary.org/obo/GO_0016708,933,1101
http://purl.obolibrary.org/obo/GO_0017150,932,1136
http://purl.obolibrary.org/obo/GO_0004019,917,1152
http://purl.obolibrary.org/obo/GO_0016805,1063,1313
http://purl.obolibrary.org/obo/GO_0003872,885,987
http://purl.obolibrary.org/obo/GO_0004719,879,1217
http://purl.obolibrary.org/obo/GO_0004177,1495,1818
http://purl.obolibrary.org/obo/GO_0015035,1423,1757
http://purl.obolibrary.org/obo/GO_0008750,860,1031
http://purl.obolibrary.org/obo/GO_0050661,2966,3665
http://purl.obolibrary.org/obo/GO_0004352,858,1129
http://purl.obolibrary.org/obo/GO_0003747,853,1091
http://purl.obolibrary.org/obo/GO_0008641,848,1124
http://purl.obolibrary.org/obo/GO_0004399,839,1157
http://purl.obolibrary.org/obo/GO_0016868,1995,2341
http://purl.obolibrary.org/obo/GO_0009378,1244,1646
http://purl.obolibrary.org/obo/GO_0004055,822,1025
http://purl.obolibrary.org/obo/GO_0016597,1666,2367
http://purl.obolibrary.org/obo/GO_0016743,1527,2130
http://purl.obolibrary.org/obo/GO_0004814,1400,1965
http://purl.obolibrary.org/obo/GO_0016773,2085,2617
http://purl.obolibrary.org/obo/GO_0016903,819,962
http://purl.obolibrary.org/obo/GO_0004181,1038,1240
http://purl.obolibrary.org/obo/GO_0030983,2092,2653
http://purl.obolibrary.org/obo/GO_0003678,1201,1357
http://purl.obolibrary.org/obo/GO_0015002,786,1011
http://purl.obolibrary.org/obo/GO_0005315,784,1018
http://purl.obolibrary.org/obo/GO_0004489,782,997
http://purl.obolibrary.org/obo/GO_0004107,774,964
http://purl.obolibrary.org/obo/GO_0004347,819,1081
http://purl.obolibrary.org/obo/GO_0004329,769,1007
http://purl.obolibrary.org/obo/GO_0004634,1189,1467
http://purl.obolibrary.org/obo/GO_0004655,755,947
http://purl.obolibrary.org/obo/GO_0003942,754,1020
http://purl.obolibrary.org/obo/GO_0016620,2607,3223
http://purl.obolibrary.org/obo/GO_0046983,2440,3199
http://purl.obolibrary.org/obo/GO_0016149,753,979
http://purl.obolibrary.org/obo/GO_0016788,2084,2482
http://purl.obolibrary.org/obo/GO_0016757,1883,2280
http://purl.obolibrary.org/obo/GO_0004298,736,1027
http://purl.obolibrary.org/obo/GO_0008081,731,921
http://purl.obolibrary.org/obo/GO_0008963,724,953
http://purl.obolibrary.org/obo/GO_0004743,724,908
http://purl.obolibrary.org/obo/GO_0030955,724,908
http://purl.obolibrary.org/obo/GO_0004553,2975,3355
http://purl.obolibrary.org/obo/GO_0004061,708,1027
http://purl.obolibrary.org/obo/GO_0016853,1594,1970
http://purl.obolibrary.org/obo/GO_0003937,720,850
http://purl.obolibrary.org/obo/GO_0004643,705,828
http://purl.obolibrary.org/obo/GO_0008233,1078,1249
http://purl.obolibrary.org/obo/GO_0016651,1113,1681
http://purl.obolibrary.org/obo/GO_0016780,688,888
http://purl.obolibrary.org/obo/GO_0003871,695,1117
http://purl.obolibrary.org/obo/GO_0003697,1052,1298
http://purl.obolibrary.org/obo/GO_0008479,673,741
http://purl.obolibrary.org/obo/GO_0016153,669,865
http://purl.obolibrary.org/obo/GO_0003911,976,1184
http://purl.obolibrary.org/obo/GO_0016820,837,1137
http://purl.obolibrary.org/obo/GO_0008964,667,820
http://purl.obolibrary.org/obo/GO_0003951,652,784
http://purl.obolibrary.org/obo/GO_0004474,651,793
http://purl.obolibrary.org/obo/GO_0008113,650,812
http://purl.obolibrary.org/obo/GO_0046933,1036,1281
http://purl.obolibrary.org/obo/GO_0046961,880,1058
http://purl.obolibrary.org/obo/GO_0048037,1111,1394
http://purl.obolibrary.org/obo/GO_0008410,630,834
http://purl.obolibrary.org/obo/GO_0003883,618,806
http://purl.obolibrary.org/obo/GO_0008987,615,771
http://purl.obolibrary.org/obo/GO_0051539,1952,2545
http://purl.obolibrary.org/obo/GO_0046429,613,836
http://purl.obolibrary.org/obo/GO_0000049,1409,1739
http://purl.obolibrary.org/obo/GO_0015116,606,691
http://purl.obolibrary.org/obo/GO_0004450,604,612
http://purl.obolibrary.org/obo/GO_0004853,601,797
http://purl.obolibrary.org/obo/GO_0005507,2340,3165
http://purl.obolibrary.org/obo/GO_0036361,586,792
http://purl.obolibrary.org/obo/GO_0004807,584,757
http://purl.obolibrary.org/obo/GO_0004612,581,774
http://purl.obolibrary.org/obo/GO_0051920,691,886
http://purl.obolibrary.org/obo/GO_0051082,1013,1224
http://purl.obolibrary.org/obo/GO_0008703,572,693
http://purl.obolibrary.org/obo/GO_0004590,569,669
http://purl.obolibrary.org/obo/GO_0004499,561,589
http://purl.obolibrary.org/obo/GO_0004820,887,1091
http://purl.obolibrary.org/obo/GO_0004471,953,1139
http://purl.obolibrary.org/obo/GO_0003746,804,1002
http://purl.obolibrary.org/obo/GO_0004020,546,722
http://purl.obolibrary.org/obo/GO_0008686,546,711
http://purl.obolibrary.org/obo/GO_0003864,546,745
http://purl.obolibrary.org/obo/GO_0004325,544,661
http://purl.obolibrary.org/obo/GO_0016857,577,721
http://purl.obolibrary.org/obo/GO_0004834,543,680
http://purl.obolibrary.org/obo/GO_0003735,11854,15221
http://purl.obolibrary.org/obo/GO_0004197,595,680
http://purl.obolibrary.org/obo/GO_0008705,537,735
http://purl.obolibrary.org/obo/GO_0070008,533,662
http://purl.obolibrary.org/obo/GO_0005488,529,704
http://purl.obolibrary.org/obo/GO_0008882,526,651
http://purl.obolibrary.org/obo/GO_0003725,523,686
http://purl.obolibrary.org/obo/GO_0008915,546,671
http://purl.obolibrary.org/obo/GO_0008452,512,683
http://purl.obolibrary.org/obo/GO_0008759,508,580
http://purl.obolibrary.org/obo/GO_0030234,508,727
http://purl.obolibrary.org/obo/GO_0004601,619,948
http://purl.obolibrary.org/obo/GO_0008716,504,637
http://purl.obolibrary.org/obo/GO_0008837,500,633
http://purl.obolibrary.org/obo/GO_0051745,499,621
http://purl.obolibrary.org/obo/GO_0070403,492,672
http://purl.obolibrary.org/obo/GO_0004799,487,516
http://purl.obolibrary.org/obo/GO_0004425,485,661
http://purl.obolibrary.org/obo/GO_0004451,482,551
http://purl.obolibrary.org/obo/GO_0033743,482,635
http://purl.obolibrary.org/obo/GO_0008725,480,631
http://purl.obolibrary.org/obo/GO_0016625,864,866
http://purl.obolibrary.org/obo/GO_0008239,637,727
http://purl.obolibrary.org/obo/GO_0004488,809,1026
http://purl.obolibrary.org/obo/GO_0050380,473,557
http://purl.obolibrary.org/obo/GO_0004315,465,557
http://purl.obolibrary.org/obo/GO_0004357,681,854
http://purl.obolibrary.org/obo/GO_0004592,455,571
http://purl.obolibrary.org/obo/GO_0022857,453,513
http://purl.obolibrary.org/obo/GO_0008745,723,860
http://purl.obolibrary.org/obo/GO_0005247,449,472
http://purl.obolibrary.org/obo/GO_0052855,448,616
http://purl.obolibrary.org/obo/GO_0004781,444,590
http://purl.obolibrary.org/obo/GO_0003924,770,940
http://purl.obolibrary.org/obo/GO_0004358,440,517
http://purl.obolibrary.org/obo/GO_0004478,1174,1477
http://purl.obolibrary.org/obo/GO_0015078,990,1265
http://purl.obolibrary.org/obo/GO_0004519,1004,1296
http://purl.obolibrary.org/obo/GO_0043531,433,647
http://purl.obolibrary.org/obo/GO_0017025,432,779
http://purl.obolibrary.org/obo/GO_0002161,731,921
http://purl.obolibrary.org/obo/GO_0005216,463,517
http://purl.obolibrary.org/obo/GO_0004523,420,516
http://purl.obolibrary.org/obo/GO_0004826,719,990
http://purl.obolibrary.org/obo/GO_0008184,416,445
http://purl.obolibrary.org/obo/GO_0008830,415,582
http://purl.obolibrary.org/obo/GO_0009029,415,509
http://purl.obolibrary.org/obo/GO_0004418,547,770
http://purl.obolibrary.org/obo/GO_0008855,517,643
http://purl.obolibrary.org/obo/GO_0004611,408,508
http://purl.obolibrary.org/obo/GO_0008026,404,434
http://purl.obolibrary.org/obo/GO_0016818,652,773
http://purl.obolibrary.org/obo/GO_0004664,403,521
http://purl.obolibrary.org/obo/GO_0050570,401,488
http://purl.obolibrary.org/obo/GO_0004455,398,470
http://purl.obolibrary.org/obo/GO_0033856,396,406
http://purl.obolibrary.org/obo/GO_0004514,396,534
http://purl.obolibrary.org/obo/GO_0008137,1160,1498
http://purl.obolibrary.org/obo/GO_0004749,394,456
http://purl.obolibrary.org/obo/GO_0004609,393,423
http://purl.obolibrary.org/obo/GO_0016833,403,556
http://purl.obolibrary.org/obo/GO_0019843,1127,1399
http://purl.obolibrary.org/obo/GO_0004089,388,454
http://purl.obolibrary.org/obo/GO_0009002,422,536
http://purl.obolibrary.org/obo/GO_0008661,385,532
http://purl.obolibrary.org/obo/GO_0004367,383,452
http://purl.obolibrary.org/obo/GO_0004144,588,559
http://purl.obolibrary.org/obo/GO_0004550,381,496
http://purl.obolibrary.org/obo/GO_0003848,376,436
http://purl.obolibrary.org/obo/GO_0016884,374,498
http://purl.obolibrary.org/obo/GO_0004420,372,507
http://purl.obolibrary.org/obo/GO_0004640,370,492
http://purl.obolibrary.org/obo/GO_0003849,368,395
http://purl.obolibrary.org/obo/GO_0019239,362,527
http://purl.obolibrary.org/obo/GO_0018112,361,421
http://purl.obolibrary.org/obo/GO_0008677,360,473
http://purl.obolibrary.org/obo/GO_0003852,353,525
http://purl.obolibrary.org/obo/GO_0016811,439,634
http://purl.obolibrary.org/obo/GO_0004140,344,415
http://purl.obolibrary.org/obo/GO_0004665,343,486
http://purl.obolibrary.org/obo/GO_0008977,343,486
http://purl.obolibrary.org/obo/GO_0004424,333,383
http://purl.obolibrary.org/obo/GO_0004594,337,399
http://purl.obolibrary.org/obo/GO_0050797,333,437
http://purl.obolibrary.org/obo/GO_0004332,327,475
http://purl.obolibrary.org/obo/GO_0008883,402,571
http://purl.obolibrary.org/obo/GO_0004045,385,532
http://purl.obolibrary.org/obo/GO_0000774,324,517
http://purl.obolibrary.org/obo/GO_0042803,327,519
http://purl.obolibrary.org/obo/GO_0051087,324,517
http://purl.obolibrary.org/obo/GO_0004127,323,428
http://purl.obolibrary.org/obo/GO_0004190,617,816
http://purl.obolibrary.org/obo/GO_0004345,514,626
http://purl.obolibrary.org/obo/GO_0016758,750,967
http://purl.obolibrary.org/obo/GO_0004637,608,727
http://purl.obolibrary.org/obo/GO_0003879,415,548
http://purl.obolibrary.org/obo/GO_0050518,304,333
http://purl.obolibrary.org/obo/GO_0008124,302,459
http://purl.obolibrary.org/obo/GO_0004109,300,401
http://purl.obolibrary.org/obo/GO_0008839,584,679
http://purl.obolibrary.org/obo/GO_0004520,299,345
http://purl.obolibrary.org/obo/GO_0003684,830,1110
http://purl.obolibrary.org/obo/GO_0003906,574,704
http://purl.obolibrary.org/obo/GO_0016799,574,704
http://purl.obolibrary.org/obo/GO_0004852,294,427
http://purl.obolibrary.org/obo/GO_0004764,294,318
http://purl.obolibrary.org/obo/GO_0008531,293,334
http://purl.obolibrary.org/obo/GO_0004748,406,531
http://purl.obolibrary.org/obo/GO_0015093,381,350
http://purl.obolibrary.org/obo/GO_0005198,896,1037
http://purl.obolibrary.org/obo/GO_0009007,326,375
http://purl.obolibrary.org/obo/GO_0004363,496,514
http://purl.obolibrary.org/obo/GO_0004185,463,544
http://purl.obolibrary.org/obo/GO_0008198,286,394
http://purl.obolibrary.org/obo/GO_0003896,463,672
http://purl.obolibrary.org/obo/GO_0016791,492,527
http://purl.obolibrary.org/obo/GO_0015109,285,335
http://purl.obolibrary.org/obo/GO_0008171,502,689
http://purl.obolibrary.org/obo/GO_0003922,283,370
http://purl.obolibrary.org/obo/GO_0004789,321,439
http://purl.obolibrary.org/obo/GO_0003910,440,663
http://purl.obolibrary.org/obo/GO_0008199,521,763
http://purl.obolibrary.org/obo/GO_0008312,302,406
http://purl.obolibrary.org/obo/GO_0016783,274,372
http://purl.obolibrary.org/obo/GO_0008897,273,337
http://purl.obolibrary.org/obo/GO_0015321,273,348
http://purl.obolibrary.org/obo/GO_0008914,271,357
http://purl.obolibrary.org/obo/GO_0008176,264,312
http://purl.obolibrary.org/obo/GO_0003919,263,341
http://purl.obolibrary.org/obo/GO_0004810,298,444
http://purl.obolibrary.org/obo/GO_0003855,334,469
http://purl.obolibrary.org/obo/GO_0004668,259,339
http://purl.obolibrary.org/obo/GO_0004525,260,345
http://purl.obolibrary.org/obo/GO_0004751,248,353
http://purl.obolibrary.org/obo/GO_0004146,247,278
http://purl.obolibrary.org/obo/GO_0000156,243,329
http://purl.obolibrary.org/obo/GO_0008984,243,329
http://purl.obolibrary.org/obo/GO_0016836,405,435
http://purl.obolibrary.org/obo/GO_0008962,241,289
http://purl.obolibrary.org/obo/GO_0008649,244,277
http://purl.obolibrary.org/obo/GO_0003743,605,757
http://purl.obolibrary.org/obo/GO_0008762,236,262
http://purl.obolibrary.org/obo/GO_0008685,233,313
http://purl.obolibrary.org/obo/GO_0016655,282,225
http://purl.obolibrary.org/obo/GO_0043772,231,324
http://purl.obolibrary.org/obo/GO_0003989,232,317
http://purl.obolibrary.org/obo/GO_0016832,252,304
http://purl.obolibrary.org/obo/GO_0016151,399,503
http://purl.obolibrary.org/obo/GO_0030145,459,526
http://purl.obolibrary.org/obo/GO_0004635,214,267
http://purl.obolibrary.org/obo/GO_0015159,212,250
http://purl.obolibrary.org/obo/GO_0070402,209,241
http://purl.obolibrary.org/obo/GO_0004518,416,574
http://purl.obolibrary.org/obo/GO_0046873,358,437
http://purl.obolibrary.org/obo/GO_0004619,204,269
http://purl.obolibrary.org/obo/GO_0003854,200,219
http://purl.obolibrary.org/obo/GO_0004411,200,278
http://purl.obolibrary.org/obo/GO_0015385,199,215
http://purl.obolibrary.org/obo/GO_0008772,198,188
http://purl.obolibrary.org/obo/GO_0004784,409,573
http://purl.obolibrary.org/obo/GO_0015501,197,268
http://purl.obolibrary.org/obo/GO_0008939,196,270
http://purl.obolibrary.org/obo/GO_0046914,448,621
http://purl.obolibrary.org/obo/GO_0004833,194,272
http://purl.obolibrary.org/obo/GO_0016763,231,319
http://purl.obolibrary.org/obo/GO_0008430,193,283
http://purl.obolibrary.org/obo/GO_0008241,188,235
http://purl.obolibrary.org/obo/GO_0015558,184,210
http://purl.obolibrary.org/obo/GO_0048472,181,255
http://purl.obolibrary.org/obo/GO_0004134,180,196
http://purl.obolibrary.org/obo/GO_0015129,180,198
http://purl.obolibrary.org/obo/GO_0015232,178,233
http://purl.obolibrary.org/obo/GO_0042132,313,449
http://purl.obolibrary.org/obo/GO_0042578,177,237
http://purl.obolibrary.org/obo/GO_0004673,183,215
http://purl.obolibrary.org/obo/GO_0018822,174,241
http://purl.obolibrary.org/obo/GO_0019825,194,179
http://purl.obolibrary.org/obo/GO_0003905,173,245
http://purl.obolibrary.org/obo/GO_0004037,171,203
http://purl.obolibrary.org/obo/GO_0004174,169,205
http://purl.obolibrary.org/obo/GO_0004340,169,194
http://purl.obolibrary.org/obo/GO_0004003,170,195
http://purl.obolibrary.org/obo/GO_0008097,166,223
http://purl.obolibrary.org/obo/GO_0004359,281,362
http://purl.obolibrary.org/obo/GO_0070009,161,167
http://purl.obolibrary.org/obo/GO_0004150,160,167
http://purl.obolibrary.org/obo/GO_0008899,159,200
http://purl.obolibrary.org/obo/GO_0004512,158,212
http://purl.obolibrary.org/obo/GO_0033739,158,184
http://purl.obolibrary.org/obo/GO_0016852,148,212
http://purl.obolibrary.org/obo/GO_0008818,148,200
http://purl.obolibrary.org/obo/GO_0051073,148,200
http://purl.obolibrary.org/obo/GO_0004018,146,156
http://purl.obolibrary.org/obo/GO_0070569,145,200
http://purl.obolibrary.org/obo/GO_0042834,142,202
http://purl.obolibrary.org/obo/GO_0003885,141,127
http://purl.obolibrary.org/obo/GO_0015128,141,149
http://purl.obolibrary.org/obo/GO_0015450,141,181
http://purl.obolibrary.org/obo/GO_0008817,140,238
http://purl.obolibrary.org/obo/GO_0043115,138,168
http://purl.obolibrary.org/obo/GO_0004560,137,159
http://purl.obolibrary.org/obo/GO_0004797,136,154
http://purl.obolibrary.org/obo/GO_0004576,135,223
http://purl.obolibrary.org/obo/GO_0043140,134,160
http://purl.obolibrary.org/obo/GO_0050080,130,139
http://purl.obolibrary.org/obo/GO_0004602,128,157
http://purl.obolibrary.org/obo/GO_0004476,172,274
http://purl.obolibrary.org/obo/GO_0016774,125,148
http://purl.obolibrary.org/obo/GO_0004817,125,168
http://purl.obolibrary.org/obo/GO_0035438,124,117
http://purl.obolibrary.org/obo/GO_0008488,123,187
http://purl.obolibrary.org/obo/GO_0000334,122,113
http://purl.obolibrary.org/obo/GO_0008138,121,160
http://purl.obolibrary.org/obo/GO_0004421,212,318
http://purl.obolibrary.org/obo/GO_0003941,120,143
http://purl.obolibrary.org/obo/GO_0008757,120,120
http://purl.obolibrary.org/obo/GO_0004832,119,136
http://purl.obolibrary.org/obo/GO_0008998,116,206
http://purl.obolibrary.org/obo/GO_0004526,115,170
http://purl.obolibrary.org/obo/GO_0050385,115,135
http://purl.obolibrary.org/obo/GO_0050897,113,169
http://purl.obolibrary.org/obo/GO_0008131,120,200
http://purl.obolibrary.org/obo/GO_0008887,111,130
http://purl.obolibrary.org/obo/GO_0003933,167,244
http://purl.obolibrary.org/obo/GO_0008829,104,165
http://purl.obolibrary.org/obo/GO_0003729,102,125
http://purl.obolibrary.org/obo/GO_0016861,102,114
http://purl.obolibrary.org/obo/GO_0008115,102,130
http://purl.obolibrary.org/obo/GO_0004040,98,117
http://purl.obolibrary.org/obo/GO_0003774,243,296
http://purl.obolibrary.org/obo/GO_0008927,97,139
http://purl.obolibrary.org/obo/GO_0042279,95,112
http://purl.obolibrary.org/obo/GO_0031072,95,105
http://purl.obolibrary.org/obo/GO_0008108,135,159
http://purl.obolibrary.org/obo/GO_0050485,102,107
http://purl.obolibrary.org/obo/GO_0004386,148,124
http://purl.obolibrary.org/obo/GO_0004809,91,147
http://purl.obolibrary.org/obo/GO_0043752,90,75
http://purl.obolibrary.org/obo/GO_0004371,125,158
http://purl.obolibrary.org/obo/GO_0016879,227,378
http://purl.obolibrary.org/obo/GO_0016993,88,158
http://purl.obolibrary.org/obo/GO_0003842,88,124
http://purl.obolibrary.org/obo/GO_0008880,88,78
http://purl.obolibrary.org/obo/GO_0016714,82,110
http://purl.obolibrary.org/obo/GO_0004143,84,93
http://purl.obolibrary.org/obo/GO_0008253,131,129
http://purl.obolibrary.org/obo/GO_0004930,89,141
http://purl.obolibrary.org/obo/GO_0004565,101,117
http://purl.obolibrary.org/obo/GO_0008792,79,117
http://purl.obolibrary.org/obo/GO_0003856,78,138
http://purl.obolibrary.org/obo/GO_0004671,78,105
http://purl.obolibrary.org/obo/GO_0047474,78,98
http://purl.obolibrary.org/obo/GO_0034257,77,97
http://purl.obolibrary.org/obo/GO_0047355,76,81
http://purl.obolibrary.org/obo/GO_0008234,144,190
http://purl.obolibrary.org/obo/GO_0004161,75,90
http://purl.obolibrary.org/obo/GO_0005451,75,86
http://purl.obolibrary.org/obo/GO_0004800,75,85
http://purl.obolibrary.org/obo/GO_0004096,74,46
http://purl.obolibrary.org/obo/GO_0005542,145,191
http://purl.obolibrary.org/obo/GO_0009001,74,81
http://purl.obolibrary.org/obo/GO_0000175,72,122
http://purl.obolibrary.org/obo/GO_0016817,77,67
http://purl.obolibrary.org/obo/GO_0004057,111,167
http://purl.obolibrary.org/obo/GO_0003908,69,92
http://purl.obolibrary.org/obo/GO_0016407,68,73
http://purl.obolibrary.org/obo/GO_0003994,124,98
http://purl.obolibrary.org/obo/GO_0004866,120,160
http://purl.obolibrary.org/obo/GO_0016798,78,99
http://purl.obolibrary.org/obo/GO_0043022,88,188
http://purl.obolibrary.org/obo/GO_0004068,59,83
http://purl.obolibrary.org/obo/GO_0000213,106,197
http://purl.obolibrary.org/obo/GO_0042925,56,45
http://purl.obolibrary.org/obo/GO_0017172,56,69
http://purl.obolibrary.org/obo/GO_0016429,65,145
http://purl.obolibrary.org/obo/GO_0008374,56,70
http://purl.obolibrary.org/obo/GO_0004348,73,66
http://purl.obolibrary.org/obo/GO_0004559,55,62
http://purl.obolibrary.org/obo/GO_0050532,53,63
http://purl.obolibrary.org/obo/GO_0003777,75,50
http://purl.obolibrary.org/obo/GO_0008017,53,40
http://purl.obolibrary.org/obo/GO_0015225,52,80
http://purl.obolibrary.org/obo/GO_0008851,63,55
http://purl.obolibrary.org/obo/GO_0004827,52,83
http://purl.obolibrary.org/obo/GO_0036459,52,32
http://purl.obolibrary.org/obo/GO_0004014,58,103
http://purl.obolibrary.org/obo/GO_0045300,51,68
http://purl.obolibrary.org/obo/GO_0005471,51,44
http://purl.obolibrary.org/obo/GO_0003917,84,133
http://purl.obolibrary.org/obo/GO_0051499,50,96
http://purl.obolibrary.org/obo/GO_0043169,49,48
http://purl.obolibrary.org/obo/GO_0003993,81,98
http://purl.obolibrary.org/obo/GO_0004829,49,72
http://purl.obolibrary.org/obo/GO_0008791,45,46
http://purl.obolibrary.org/obo/GO_0004557,45,42
