Ord No,Date Time,Latitude,Longitude,Water Depth,Total Chlorophyll A,Diatom Chlorophyll A,Haptophyte Chlorophyll A,Prokaryote Chlorophyll A 
121,1991-05-19,36.23147,-1.31397,10,0.069,0.0029,0.0223,0.025
122,1991-05-19,36.24087,-1.30393,3,0.08,0.0067,0.0365,0.0214
123,1991-05-19,36.24087,-1.30393,10,0.082,0.0054,0.0297,0.0271
124,1991-05-20,36.18345,-1.48969,3,0.123,0.0226,0.0452,0.0332
125,1991-05-20,36.18345,-1.48969,10,0.114,0.0213,0.0449,0.0309
126,1991-05-20,36.14001,-1.46787,3,0.163,0.0274,0.0711,0.023
127,1991-05-20,36.14001,-1.46787,10,0.181,0.0478,0.0588,0.015
128,1991-05-22,36.05579,-1.48309,10,0.119,0.0131,0.0298,0.0518
129,1991-05-22,36.06608,-1.4603,3,0.141,0.0244,0.0363,0.0468
130,1991-05-22,36.06608,-1.4603,10,0.14,0.025,0.0362,0.0479
131,1991-05-22,36.1042,-1.3796,3,0.203,0.074,0.0571,0.0342
132,1991-05-22,36.1042,-1.3796,10,0.209,0.0719,0.0555,0.0368
133,1991-05-23,36.08645,-1.55865,3,0.263,0.1166,0.075,0.0302
134,1991-05-23,36.08645,-1.55865,10,0.244,0.1034,0.0687,0.0303
135,1991-05-23,36.10744,-1.3356,3,0.162,0.04,0.0421,0.0387
136,1991-05-23,36.10744,-1.3356,10,0.176,0.0469,0.0488,0.0428
137,1991-05-24,36.10934,-1.49673,3,0.21,0.0974,0.0562,0.0305
138,1991-05-24,36.10934,-1.49673,10,0.204,0.0959,0.054,0.024
139,1991-05-24,36.1203,-1.44524,3,0.204,0.0889,0.0749,0.0266
140,1991-05-24,36.1203,-1.44524,10,0.169,0.075,0.0594,0.0228
141,1991-05-25,36.12722,-1.41837,3,0.182,0.0709,0.0672,0.0244
142,1991-05-25,36.12722,-1.41837,10,0.17,0.0648,0.0644,0.0242
143,1998-01-02,36.26523,-1.00625,5,0.9048,0.3182,0.2816,0.0375
144,1998-01-02,36.26523,-1.00625,10,0.9142,0.3264,0.2845,0.0374
145,1998-01-02,36.26044,-0.59256,5,0.9969,0.3694,0.2719,0.0456
146,1998-01-02,36.26044,-0.59256,10,0.9695,0.348,0.2737,0.0483
147,1998-01-02,36.28579,-0.56712,5,0.8307,0.2217,0.2621,0.0616
148,1998-01-02,36.28579,-0.56712,10,0.8309,0.2051,0.2624,0.0655
149,1998-01-03,36.25846,-0.51021,5,0.9791,0.4151,0.3162,0.0407
150,1998-01-03,36.25846,-0.51021,10,1.0419,0.4312,0.3119,0.0402
151,1998-01-03,36.25634,-0.49536,5,1.1849,0.4747,0.2954,0.0554
152,1998-01-03,36.25634,-0.49536,10,1.1801,0.4876,0.2997,0.0556
153,1998-01-04,36.20781,-0.46814,5,0.7195,0.2711,0.2268,0.0237
154,1998-01-04,36.20781,-0.46814,10,0.7172,0.2497,0.2427,0.0263
155,1998-01-04,36.19535,-0.42831,5,0.6888,0.1824,0.2667,0.046
156,1998-01-04,36.19535,-0.42831,10,0.7225,0.2027,0.278,0.0456
157,1998-01-04,36.1963,-0.38431,5,0.8429,0.2675,0.295,0.041
158,1998-01-05,36.18462,-0.28281,5,0.5625,0.1011,0.2365,0.0413
159,1998-01-05,36.1812,-0.25645,5,0.64,0.1365,0.2475,0.0506
160,1998-01-06,36.12377,-0.39964,5,0.5219,0.1192,0.213,0.0309
161,1998-01-06,36.12674,-0.3868,5,0.6759,0.1757,0.237,0.0425
162,1998-01-06,36.13287,-0.35333,5,0.6694,0.2378,0.2273,0.0299
163,1998-01-06,36.13287,-0.35333,10,0.653,0.2892,0.2015,0.0172
164,1998-01-07,36.10244,-0.30226,5,0.5681,0.1877,0.2032,0.0296
165,1998-01-07,36.09597,-0.2889,5,0.6193,0.1753,0.2272,0.0506
166,1998-01-07,36.09597,-0.2889,10,0.6741,0.2021,0.2494,0.052
167,1998-01-08,36.35045,-0.19995,5,0.6376,0.2927,0.1896,0.0342
168,1998-01-08,36.35045,-0.19995,10,0.8468,0.3648,0.2598,0.0384
169,1998-01-08,36.34423,-0.17819,5,0.7566,0.3676,0.1933,0.0452
170,1998-01-08,36.33194,-0.15215,5,0.4205,0.1184,0.1536,0.047
171,1998-01-08,36.33194,-0.15215,10,0.7874,0.3712,0.1922,0.0387
172,1998-01-09,36.30567,-0.10484,5,0.9062,0.208,0.3992,0.0618
173,1998-01-09,36.30567,-0.10484,10,0.8784,0.1913,0.3785,0.0554
174,1998-01-09,36.30804,-0.08445,10,0.7038,0.1876,0.2797,0.0699
175,1998-01-12,36.51686,-0.31711,5,0.2618,0.0304,0.1118,0.0863
176,1998-01-12,36.51686,-0.31711,10,0.266,0.0372,0.1098,0.0835
177,1998-01-12,36.51871,-0.31041,5,0.2571,0.0382,0.0977,0.0892
178,1998-01-12,36.51871,-0.31041,10,0.2522,0.0306,0.1009,0.0874
179,1998-01-13,36.52174,-0.31598,5,0.2018,0.0168,0.0885,0.0733
180,1998-01-13,36.52174,-0.31598,10,0.211,0.0201,0.0891,0.0742
181,1998-01-13,36.51978,-0.31194,5,0.2327,0.0249,0.0922,0.0907
182,1998-01-13,36.51978,-0.31194,10,0.2486,0.0249,0.1011,0.0881
183,1997-12-25,35.47791,-1.53887,5,0.6603,0.131,0.2778,0.0564
184,1997-12-26,36.00286,-1.5492,5,0.5207,0.1306,0.2218,0.0272
185,1997-12-27,36.3312,-0.57848,5,0.3779,0.0491,0.1955,0.0369
186,1997-12-27,36.3312,-0.57848,10,0.3814,0.0444,0.1983,0.0377
187,1997-12-27,36.22497,-0.57425,5,0.3207,0.0511,0.1722,0.0221
188,1997-12-27,36.32644,-0.57422,5,0.3374,0.0465,0.1806,0.0388
189,1997-12-27,36.32644,-0.57422,10,0.3393,0.0486,0.1885,0.0378
190,1997-12-28,36.32945,-0.56432,5,0.304,0.043,0.1588,0.0379
191,1997-12-28,36.3334,-0.55969,5,0.3723,0.0449,0.1887,0.0496
192,1997-12-28,36.3334,-0.55969,10,0.3735,0.045,0.1906,0.046
193,1997-12-29,36.04701,-1.26816,5,0.6599,0.2281,0.2386,0.0225
194,1997-12-29,36.05817,-1.25907,5,0.8171,0.261,0.319,0.0324
195,1997-12-29,36.08696,-1.24803,5,0.6564,0.1662,0.2529,0.0315
196,1997-12-30,36.12806,-1.21807,5,0.5353,0.1668,0.2143,0.0245
197,1997-12-30,36.12806,-1.21807,10,0.5325,0.1591,0.2202,0.0254
198,1997-12-30,36.13948,-1.20848,5,0.5893,0.0753,0.2928,0.0621
199,1997-12-30,36.13948,-1.20848,10,0.6289,0.0801,0.3022,0.0646
200,1997-12-30,36.15189,-1.19522,5,0.6713,0.0712,0.2984,0.0761
